Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Somos 70 Por Cento,,2596475380568472,none,,,,229025,N/A,2020-08-16 12:53:04 BRT,2020-08-16,12:53:04,Photo,"2,980",1847,227,477,383,9,3,0,3,31,,-,0,0,0,N/A,https://www.facebook.com/groups/2596475380568472/permalink/2683227315226611,DAQUI A POUCO O BIROLIRO VAI DIZER QUE ELE QUE TROUXE A VACINA!!!!,https://www.facebook.com/photo.php?fbid=1711534182329309&set=p.1711534182329309&type=3,,,Cicero Mitsuyoshi Kamiyama,"Parabéns Fiocruz
Vacina  em estágio 3! 
A Fiocruz descobriu que base do vírus COVID era de gordura, em abril.
Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito.
Procurou o Governo Federal na época não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! 
A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford...Esses cientistas, sob à  coordenação da   brasileira Daniela Ferreira , se comunicaram e compartilharam o descobrimento do genoma e a Oxford  entrou com a tecnologia. 
As pesquisas estão em fase de conclusão, com 93% de êxito.
Parabéns FIOCRUZ!
Recorte do Texto de Fabiana Bras",,,,"2,980",66.22
Somos 100% pelo impeachment do presidente e pela  terceira via.,,2316772025282336,none,,,,N/A,N/A,2020-07-05 20:24:01 BRT,2020-07-05,20:24:01,Status,910,384,108,263,124,7,0,0,1,23,,-,0,0,0,N/A,https://www.facebook.com/groups/2316772025282336/permalink/2383906231902248,"Parabéns Fiocruz! Perdeu a chance Bolsonaro. Vacina em estágio 3! A Fiocruz descobriu o genoma e as divisões celulares do covide no mês de abril! Foi ela quem descobriu que sua base era de gordura. Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito. Procurou o Governo Federal na época e este não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford... Esses cientistas se comunicaram e compartilharam o descobrimento do genoma e a Oxford entrou com a tecnologia. Deixaram os políticos literalmente de lado para concluírem a pesquisa! As pesquisas estão em fase de conclusão, com 93% de êxito Parabéns FIOCRUZ! Recorte do Texto de Fabiana Braz",,,,,,,,,910,16.25
BOM DIA RESENDE,,119761178178923,none,,,,66175,N/A,2020-07-18 14:15:48 BRT,2020-07-18,14:15:48,Photo,767,456,100,123,77,2,0,0,0,9,,-,0,0,0,N/A,https://www.facebook.com/groups/119761178178923/permalink/1665956496892709,"Parabéns Fiocruz! Vacina em estágio 3! A Fiocruz descobriu o genoma e as divisões celulares do covide no mês de abril! Foi ela quem descobriu que sua base era de gordura. Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito. Procurou o Governo Federal na época e este não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford... Esses cientistas se comunicaram e compartilharam o descobrimento do genoma e a Oxford entrou com a tecnologia. Deixaram os políticos literalmente de lado para concluírem a pesquisa! As pesquisas estão em fase de conclusão, com 93% de êxito Parabéns FIOCRUZ! Recorte do Texto de Fabiana Braz",https://www.facebook.com/photo.php?fbid=327095714963009&set=gm.1665956496892709&type=3,,,,,,,,767,4.95
Somos 100% pelo impeachment do presidente e pela  terceira via.,,2316772025282336,none,,,,N/A,N/A,2020-07-18 13:50:08 BRT,2020-07-18,13:50:08,Photo,755,394,73,185,94,1,0,0,0,8,,-,0,0,0,N/A,https://www.facebook.com/groups/2316772025282336/permalink/2394207797538758,"Apesar da total falta de apoio do governo do genocida, a Fiocruz conseguiu mandar bem pra caramba.😊😊😊",https://www.facebook.com/photo.php?fbid=3019491081501098&set=p.3019491081501098&type=3,,,Divaneide,"Parabéns Fiocruz! 
Vacina  em estágio 3! 
A Fiocruz descobriu o genoma e as divisões celulares do covide no mês de abril! 
Foi ela quem descobriu  que sua base era de gordura. 
Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito.
Procurou o Governo Federal na época e este não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! 
A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford...

Esses cientistas se comunicaram e compartilharam o descobrimento do genoma e a Oxford  entrou com a tecnologia. 
Deixaram os políticos literalmente de lado para concluírem a pesquisa!
As pesquisas estão em fase de conclusão, com 93% de êxito 

Parabéns FIOCRUZ!

Recorte do Texto de Fabiana Braz",,,,755,16.06
Acontecimentos Alvorada ✅,,683682231769864,none,,,,105176,N/A,2020-08-05 11:26:53 BRT,2020-08-05,11:26:53,Photo,702,422,86,90,94,4,1,0,1,4,,-,0,0,0,N/A,https://www.facebook.com/groups/683682231769864/permalink/1764034693734607,"Parabéns Fiocruz, Oxford e instituto Butantan Vacina em estágio 3! Dois estudos distintos sobre vacinas contra Covid-19 estão sendo foco de planejamento no combate ao coronavírus no Brasil. As vacinas de Oxford, no Reino Unido, e do Instituto Butantan, de São Paulo, já entram na terceira e última fase de testes. Em entrevista à CNN Rosana Richtmann, infectologista do Instituto de Infectologia Emilio Ribas, em São Paulo, e do Grupo Santa Joana, explicou que a tecnologia utilizada difere o estudo britânico do brasileiro. Governo fecha parceria para produzir vacina britânica Grupo chinês diz que vacina contra Covid-19 mostra completa eficácia Covid-19: testes preliminares da vacina de Oxford chegam A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford... As pesquisas estão em fase de conclusão, com 93% de êxito Parabéns FIOCRUZ, OXFORD, E INSTITUTO BUTANTAN",https://www.facebook.com/photo.php?fbid=3195558883864759&set=gm.1764034693734607&type=3,,,,,,,,702,10.64
LULA PRESIDENTE,,180698266598065,none,,,,20563,N/A,2020-08-16 23:17:48 BRT,2020-08-16,23:17:48,Photo,625,359,67,130,64,0,0,0,0,5,,-,0,0,0,N/A,https://www.facebook.com/groups/180698266598065/permalink/324941525507071,,https://www.facebook.com/photo.php?fbid=1711534182329309&set=p.1711534182329309&type=3,,,Cicero Mitsuyoshi Kamiyama,"Parabéns Fiocruz
Vacina  em estágio 3! 
A Fiocruz descobriu que base do vírus COVID era de gordura, em abril.
Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito.
Procurou o Governo Federal na época não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! 
A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford...Esses cientistas, sob à  coordenação da   brasileira Daniela Ferreira , se comunicaram e compartilharam o descobrimento do genoma e a Oxford  entrou com a tecnologia. 
As pesquisas estão em fase de conclusão, com 93% de êxito.
Parabéns FIOCRUZ!
Recorte do Texto de Fabiana Bras",,,,625,12.5
A Gazeta Petista -Somos Resistencia,,1410993892279167,none,,,,87351,N/A,2020-07-17 22:38:21 BRT,2020-07-17,22:38:21,Photo,622,335,65,138,75,4,0,0,0,5,,-,0,0,0,N/A,https://www.facebook.com/groups/1410993892279167/permalink/3611558788889322,,https://www.facebook.com/photo.php?fbid=3019491081501098&set=p.3019491081501098&type=3,,,Divaneide,"Parabéns Fiocruz! 
Vacina  em estágio 3! 
A Fiocruz descobriu o genoma e as divisões celulares do covide no mês de abril! 
Foi ela quem descobriu  que sua base era de gordura. 
Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito.
Procurou o Governo Federal na época e este não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! 
A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford...

Esses cientistas se comunicaram e compartilharam o descobrimento do genoma e a Oxford  entrou com a tecnologia. 
Deixaram os políticos literalmente de lado para concluírem a pesquisa!
As pesquisas estão em fase de conclusão, com 93% de êxito 

Parabéns FIOCRUZ!

Recorte do Texto de Fabiana Braz",,,,622,19.44
Militantes De Esquerda,,1689573447802856,none,,,,28834,N/A,2020-08-16 23:15:55 BRT,2020-08-16,23:15:55,Photo,519,275,64,135,37,1,0,0,0,7,,-,0,0,0,N/A,https://www.facebook.com/groups/1689573447802856/permalink/3259238947502957,,https://www.facebook.com/photo.php?fbid=1711534182329309&set=p.1711534182329309&type=3,,COVID-19 Vaccine Parabéns FIOCRUZ,Cicero Mitsuyoshi Kamiyama,"Parabéns Fiocruz
Vacina  em estágio 3! 
A Fiocruz descobriu que base do vírus COVID era de gordura, em abril.
Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito.
Procurou o Governo Federal na época não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! 
A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford...Esses cientistas, sob à  coordenação da   brasileira Daniela Ferreira , se comunicaram e compartilharam o descobrimento do genoma e a Oxford  entrou com a tecnologia. 
As pesquisas estão em fase de conclusão, com 93% de êxito.
Parabéns FIOCRUZ!
Recorte do Texto de Fabiana Bras",,,,519,9.27
Pérolas de Bolsonaro,,428970951263763,none,,,,40542,N/A,2020-07-17 22:37:15 BRT,2020-07-17,22:37:15,Photo,512,238,60,123,84,2,0,0,0,5,,-,0,0,0,N/A,https://www.facebook.com/groups/428970951263763/permalink/774002166760638,,https://www.facebook.com/photo.php?fbid=3019491081501098&set=p.3019491081501098&type=3,,,Divaneide,"Parabéns Fiocruz! 
Vacina  em estágio 3! 
A Fiocruz descobriu o genoma e as divisões celulares do covide no mês de abril! 
Foi ela quem descobriu  que sua base era de gordura. 
Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito.
Procurou o Governo Federal na época e este não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! 
A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford...

Esses cientistas se comunicaram e compartilharam o descobrimento do genoma e a Oxford  entrou com a tecnologia. 
Deixaram os políticos literalmente de lado para concluírem a pesquisa!
As pesquisas estão em fase de conclusão, com 93% de êxito 

Parabéns FIOCRUZ!

Recorte do Texto de Fabiana Braz",,,,512,12.49
grupo de apoio ao Instituto Terra  (fundado por Sebastião Salgado),,1636174223309529,none,,,,7558,N/A,2020-09-28 09:27:43 BRT,2020-09-28,09:27:43,Photo,416,222,45,91,54,0,0,0,0,4,,-,0,0,0,N/A,https://www.facebook.com/groups/1636174223309529/permalink/2658300974430177,,https://www.facebook.com/photo.php?fbid=1711534182329309&set=p.1711534182329309&type=3,,,Cicero Mitsuyoshi Kamiyama,"Parabéns Fiocruz
Vacina  em estágio 3! 
A Fiocruz descobriu que base do vírus COVID era de gordura, em abril.
Porém, a Fiocruz não tinha a tecnologia para desenvolver a vacina, mas sabia como deveria ser feito.
Procurou o Governo Federal na época não deu ouvidos, não autorizou auxílio financeiro e desprezou a pesquisa! 
A Fiocruz se uniu ao Butantan em São Paulo que se comunicou com Oxford...Esses cientistas, sob à  coordenação da   brasileira Daniela Ferreira , se comunicaram e compartilharam o descobrimento do genoma e a Oxford  entrou com a tecnologia. 
As pesquisas estão em fase de conclusão, com 93% de êxito.
Parabéns FIOCRUZ!
Recorte do Texto de Fabiana Bras",,,,416,4.78
