Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
BRASIL COM BOLSONARO ATÉ 2026,,673869409665037,none,,,,18409,N/A,2021-03-08 17:29:02 BRT,2021-03-08,17:29:02,Photo,4,2,1,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/673869409665037/permalink/1309364476115524,,https://www.facebook.com/bolsonaropr2022/photos/a.1788965448061070/2668219856802287/?type=3,,GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Bolsonaro Presidente 2022,"GRANDE DIA! 🇧🇷

- Ele não era negacionista? 
- Você não verão essa notícia na grande mídia.",,,,4,-11.5
Bolsonaro RJ (eleitores),,2026743194302801,none,,,,2100,N/A,2021-03-08 16:10:46 BRT,2021-03-08,16:10:46,Photo,3,1,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2026743194302801/permalink/2686863468290767,,https://www.facebook.com/bolsonaropr2022/photos/a.1788965448061070/2668219856802287/?type=3,,GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Bolsonaro Presidente 2022,"GRANDE DIA! 🇧🇷

- Ele não era negacionista? 
- Você não verão essa notícia na grande mídia.",,,,3,-0.73
UM BRASIL NOVO...,,358575618212689,none,,,,1059,N/A,2021-03-08 15:28:03 BRT,2021-03-08,15:28:03,Photo,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/358575618212689/permalink/934280323975546,,https://www.facebook.com/bolsonaropr2022/photos/a.1788965448061070/2668219856802287/?type=3,,GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Bolsonaro Presidente 2022,"GRANDE DIA! 🇧🇷

- Ele não era negacionista? 
- Você não verão essa notícia na grande mídia.",,,,2,-12
Nordeste firme e forte com Bolsonaro,,957593411049587,learning,,,,2912,N/A,2021-03-09 20:50:48 BRT,2021-03-09,20:50:48,Photo,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/957593411049587/permalink/2149673031841613,Glória,https://www.facebook.com/CoronelSandroOficial/photos/a.152978405409028/756457141727815/?type=3,,SANDRO CORONEL DEPUTADO ESTADUAL GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Coronel Sandro,Ele não era negacionista? Porque a mídia não enfatizou essa notícia?,,,,2,-0.89
LAVA JATO,,1746984162248952,none,,,,1609,N/A,2021-03-08 12:59:55 BRT,2021-03-08,12:59:55,Photo,2,1,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1746984162248952/permalink/2942022626078427,,https://www.facebook.com/CoronelSandroOficial/photos/a.152978405409028/756457141727815/?type=3,,SANDRO CORONEL DEPUTADO ESTADUAL GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Coronel Sandro,Ele não era negacionista? Porque a mídia não enfatizou essa notícia?,,,,2,-10.5
BOLSONARO (Baixada Fluminense),,170776213506329,none,,,,3975,N/A,2021-03-08 09:37:38 BRT,2021-03-08,09:37:38,Photo,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/170776213506329/permalink/840239276560016,,https://www.facebook.com/CoronelSandroOficial/photos/a.152978405409028/756457141727815/?type=3,,SANDRO CORONEL DEPUTADO ESTADUAL GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Coronel Sandro,Ele não era negacionista? Porque a mídia não enfatizou essa notícia?,,,,2,-10
Ratinho,,1040363459811631,none,,,,N/A,N/A,2021-03-08 15:59:53 BRT,2021-03-08,15:59:53,Photo,1,0,0,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1040363459811631/permalink/1088722031642440,,https://www.facebook.com/bolsonaropr2022/photos/a.1788965448061070/2668219856802287/?type=3,,GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Bolsonaro Presidente 2022,"GRANDE DIA! 🇧🇷

- Ele não era negacionista? 
- Você não verão essa notícia na grande mídia.",,,,1,-39
Nóis é pobre mais é feliz,,406426274071372,none,,,,62307,N/A,2021-03-09 15:27:35 BRT,2021-03-09,15:27:35,Photo,1,0,0,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/406426274071372/permalink/482953379751994,,https://www.facebook.com/CoronelSandroOficial/photos/a.152978405409028/756457141727815/?type=3,,SANDRO CORONEL DEPUTADO ESTADUAL GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Coronel Sandro,Ele não era negacionista? Porque a mídia não enfatizou essa notícia?,,,,1,-203
O GIGANTE 2 ACORDOU E AQUI VERMELHO Ñ ENTRA!!,,196359280991666,none,,,,669,N/A,2021-03-08 14:32:39 BRT,2021-03-08,14:32:39,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/196359280991666/permalink/772757166685205,,https://www.facebook.com/CoronelSandroOficial/photos/a.152978405409028/756457141727815/?type=3,,SANDRO CORONEL DEPUTADO ESTADUAL GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Coronel Sandro,Ele não era negacionista? Porque a mídia não enfatizou essa notícia?,,,,1,-0.94
Carla Zambelli,,1371084053086614,none,,,,28941,N/A,2021-03-08 10:19:07 BRT,2021-03-08,10:19:07,Photo,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1371084053086614/permalink/1514345362093815,,https://www.facebook.com/CoronelSandroOficial/photos/a.152978405409028/756457141727815/?type=3,,SANDRO CORONEL DEPUTADO ESTADUAL GRANDE DIA GOVERNO BOLSONARO COMPRA TODO ESTOQUE DAS VACINAS PFIZER E JOHNSON E JOHNSON DISPONÍVEIS NO MERCADO,Coronel Sandro,Ele não era negacionista? Porque a mídia não enfatizou essa notícia?,,,,1,-48
