Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Sou de Direita com Orgulho!,,2921738641384848,none,,,,126288,N/A,2020-07-22 12:22:22 BRT,2020-07-22,12:22:22,Native Video,540,57,234,148,0,7,46,2,46,0,share,No,0,95568,0,00:00:47,https://www.facebook.com/groups/2921738641384848/permalink/3335842826641092,,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,540,5.35
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,633273,N/A,2020-07-22 12:35:35 BRT,2020-07-22,12:35:35,Photo,299,38,119,63,0,2,51,0,25,1,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1083242045718656,Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa do ditador cor de rosa. 🤦‍♀️🇧🇷,,,,,,,,,299,1.44
Sikera Junior,,1430656280424754,none,,,,N/A,N/A,2020-07-22 12:43:23 BRT,2020-07-22,12:43:23,Native Video,265,40,103,69,0,3,23,1,26,0,share,No,0,95581,0,00:00:47,https://www.facebook.com/groups/1430656280424754/permalink/1634057850084595,Cambada de salafrários... 🤮,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,265,10.19
JAIR BOLSONARO - O MITO.!,,473122700191150,none,,,,40751,N/A,2020-07-22 12:21:46 BRT,2020-07-22,12:21:46,Native Video,178,17,87,44,0,1,14,0,15,0,share,No,0,95572,0,00:00:47,https://www.facebook.com/groups/473122700191150/permalink/756371445199606,,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,178,5.74
#APOIADORES DO  GOVERNO DO BOLSONARO PRESIDENTE DO BRASIL,,1624167294491597,none,,,,100543,N/A,2020-07-22 12:44:01 BRT,2020-07-22,12:44:01,Native Video,160,15,70,39,0,3,20,0,13,0,share,No,0,95590,0,00:00:47,https://www.facebook.com/groups/1624167294491597/permalink/2849169741991340,Cambada de salafrários... 🤮,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,160,4.44
FORÇABRASIL,,561813371057548,none,,,,273374,N/A,2020-07-22 13:46:34 BRT,2020-07-22,13:46:34,Native Video,111,14,29,50,0,1,11,1,4,1,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/561813371057548/permalink/919063011999247,Doria e ditador.... Falso vacina China kkkkkk..... Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️,https://www.facebook.com/groups/561813371057548/permalink/919063011999247/,,,Photos from Alisson Talim's post,,,,,111,2.36
FÃ CLUBE ROBERTA COLTRO,,2679379092346273,none,,,,23380,N/A,2020-07-22 15:56:54 BRT,2020-07-22,15:56:54,Native Video,98,20,49,0,0,3,17,1,8,0,share,No,0,51603,0,00:00:47,https://www.facebook.com/groups/2679379092346273/permalink/2751407185143463,,https://www.facebook.com/sirlene.assuncao.3/videos/2751059988459686/,,,Sirlene,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,98,4.26
Aliança pelo Brasil Sl,,694893404338676,none,,,,6373,N/A,2020-07-22 11:54:07 BRT,2020-07-22,11:54:07,Native Video,95,10,42,21,0,1,12,0,9,0,share,No,0,51606,0,00:00:47,https://www.facebook.com/groups/694893404338676/permalink/883096095518405,,https://www.facebook.com/sirlene.assuncao.3/videos/2751059988459686/,,,Sirlene,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,95,5
FÃ CLUBE ROBERTA COLTRO,,2679379092346273,none,,,,23380,N/A,2020-07-22 14:45:49 BRT,2020-07-22,14:45:49,Native Video,82,16,43,0,0,5,14,0,4,0,share,No,0,95586,0,00:00:47,https://www.facebook.com/groups/2679379092346273/permalink/2751360065148175,,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,82,3.57
Eu apoio a um País sem corrupção,,1539465589688649,none,,,,37387,N/A,2020-07-22 12:43:32 BRT,2020-07-22,12:43:32,Native Video,73,8,32,21,0,3,2,1,6,0,share,No,0,95580,0,00:00:47,https://www.facebook.com/groups/1539465589688649/permalink/2427414664227066,Cambada de salafrários... 🤮,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,73,3.04
#elesim,,2216364248679326,none,,,,23791,N/A,2020-07-22 14:48:59 BRT,2020-07-22,14:48:59,Native Video,67,9,26,20,0,2,10,0,0,0,share,No,0,95586,0,00:00:47,https://www.facebook.com/groups/2216364248679326/permalink/2814903865492025,Gente olha no absurdo. Pq não tira a mão dá frente. Estranho. A vacina do Doria já chegou mas parece q Ele Quer nos matar mais do que a covid. Pq essa mão na frente nunca vi isso. Está estranho essa mão para cobrir vacina não se aplica assim. Sem algodão sem nada.!!!,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,67,3.53
Grupo do Movimento Brasil à Direita,,577614125933249,none,,,,214424,N/A,2020-07-22 12:43:13 BRT,2020-07-22,12:43:13,Native Video,52,7,19,15,0,0,11,0,0,0,share,No,0,95597,0,00:00:47,https://www.facebook.com/groups/577614125933249/permalink/1467535476941105,Cambada de salafrários... 🤮,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,52,-1.33
#Globolixo,,1844897409130363,learning,,,,93728,N/A,2020-07-22 19:17:07 BRT,2020-07-22,19:17:07,Native Video,46,7,17,9,0,0,10,1,2,0,share,-,0,2023,0,00:00:47,https://www.facebook.com/groups/1844897409130363/permalink/2857303407889753,KKKK,,,,Bolsonaro Presidente Estamos com Você,"VACINA FAKE !                         
            NÃO É POSSÍVEL ! Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa ..pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️ VEJA COMO O DÓRIA É.........",,,,46,-1.02
NAÇÃO BOLSONARIANA 2022,,1224957990848536,none,,,,187631,N/A,2020-07-22 12:44:22 BRT,2020-07-22,12:44:22,Native Video,46,6,20,16,0,0,0,0,4,0,share,No,0,95598,0,00:00:47,https://www.facebook.com/groups/1224957990848536/permalink/4926009087410056,Cambada de salafrários... 🤮,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,46,1.28
Bolsonaro Opressor 2022,,1383055908398596,none,,,,50264,N/A,2020-07-22 19:17:34 BRT,2020-07-22,19:17:34,Native Video,43,7,14,15,0,0,5,0,2,0,share,-,0,2023,0,00:00:47,https://www.facebook.com/groups/1383055908398596/permalink/3196038047100364,KKKKK,,,,Bolsonaro Presidente Estamos com Você,"VACINA FAKE !                         
            NÃO É POSSÍVEL ! Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa ..pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️ VEJA COMO O DÓRIA É.........",,,,43,1.26
Grupo do Movimento Brasil à Direita,,577614125933249,none,,,,214424,N/A,2020-07-22 12:32:52 BRT,2020-07-22,12:32:52,Native Video,42,2,15,12,0,3,7,0,3,0,share,No,0,51606,0,00:00:47,https://www.facebook.com/groups/577614125933249/permalink/1467528163608503,,https://www.facebook.com/sirlene.assuncao.3/videos/2751059988459686/,,,Sirlene,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,42,-1.64
PT NUNCA MAIS!,,162140954714949,none,,,,N/A,N/A,2020-07-22 13:25:10 BRT,2020-07-22,13:25:10,Native Video,36,2,12,16,0,2,1,0,3,0,share,No,0,95553,0,00:00:47,https://www.facebook.com/groups/162140954714949/permalink/617802179148822,,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,36,1.44
Impeachment Dória Já,,219084595977093,none,,,,N/A,N/A,2020-07-22 15:59:50 BRT,2020-07-22,15:59:50,Native Video,34,5,14,10,0,1,3,0,1,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/219084595977093/permalink/288113555740863,Gente olha no absurdo. Pq não tira a mão dá frente. Estranho. A vacina do Doria já chegou mas parece q Ele Quer nos matar mais do que a covid. Pq essa mão na frente nunca vi isso. Está estranho essa mão para cobrir vacina não se aplica assim. Sem algodão sem nada.!!! Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️,https://www.facebook.com/groups/219084595977093/permalink/288113555740863/,,,,,,,,34,1.79
Robôs do Bolsonaro 🇧🇷,,1927492380891408,none,,,,11191,N/A,2020-07-22 14:08:49 BRT,2020-07-22,14:08:49,Native Video,21,2,6,4,0,1,7,0,1,0,share,No,0,95581,0,00:00:47,https://www.facebook.com/groups/1927492380891408/permalink/2365293037111338,Algo de errado não está certo nisso em,https://www.facebook.com/claremi.bueloni/videos/2876096912501892/,,,Claremi,"JORNAL BRASIL DE DIREITA
@JORNALBRASILDE1
Gente é sério isso? No fim do procedimento a agulha está com o protetor? Eu vi isso? E cade o algodão? Me parece mais uma farsa pra quê filmar se coloca a mão na frente. 🤦‍♀️🤦‍♀️🤦‍♀️",,,,21,-1.05
