Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Bolsonaro 2022,,347555432645817,none,,,,170167,N/A,2020-10-26 17:10:57 BRT,2020-10-26,17:10:57,Link,310,30,74,112,0,2,70,4,18,0,,-,0,0,0,N/A,https://www.facebook.com/groups/347555432645817/permalink/901389357262419,,https://www.poraodamamae.com.br/se-o-virus-veio-da-china-e-funciona-por-que-a-vacina-nao-funcionaria-diz-ex-presidenta-dilma/?frame-nonce=cf7cd1f6a8,,,"Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma – Porão da Mamãe",A presidenta Dilma Rousseff falou nesta segunda feira com um grupo de pesquisadores encabeçado por Atila Iamarino. O assunto foi a vacina produzida na China. Os pesquisadores ainda estão muito...,,,,310,4.7
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644649,N/A,2020-10-26 17:10:48 BRT,2020-10-26,17:10:48,Link,270,15,74,53,0,4,100,1,22,1,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1178650159511177,,https://www.poraodamamae.com.br/se-o-virus-veio-da-china-e-funciona-por-que-a-vacina-nao-funcionaria-diz-ex-presidenta-dilma/?frame-nonce=cf7cd1f6a8,,,"Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma – Porão da Mamãe",A presidenta Dilma Rousseff falou nesta segunda feira com um grupo de pesquisadores encabeçado por Atila Iamarino. O assunto foi a vacina produzida na China. Os pesquisadores ainda estão muito...,,,,270,1.94
Pingos Nos Is,,635862526904801,none,,,,53847,N/A,2020-10-26 17:11:08 BRT,2020-10-26,17:11:08,Link,187,25,48,47,0,3,53,0,11,0,,-,0,0,0,N/A,https://www.facebook.com/groups/635862526904801/permalink/963464344144616,,https://www.poraodamamae.com.br/se-o-virus-veio-da-china-e-funciona-por-que-a-vacina-nao-funcionaria-diz-ex-presidenta-dilma/?frame-nonce=cf7cd1f6a8,,,"Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma – Porão da Mamãe",A presidenta Dilma Rousseff falou nesta segunda feira com um grupo de pesquisadores encabeçado por Atila Iamarino. O assunto foi a vacina produzida na China. Os pesquisadores ainda estão muito...,,,,187,4.92
CNN Caio Coppolla Debora G. Barbosa Olavo de Carvalho Bolsonaro Conservador,,1654569871289798,learning,,,,69643,N/A,2020-10-25 17:33:02 BRT,2020-10-25,17:33:02,Photo,163,29,29,43,0,5,45,0,12,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1654569871289798/permalink/3886750788071684,,https://www.facebook.com/MovimentoIndependenteBR/photos/a.1433984366694949/3470736193019746/?type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da china e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",MIB,"Afinal, se o vírus que eles criaram está funcionando muito bem, a vacina com certeza também 'funcionará'! Rsrsrs!",,,,163,2.96
Capitalismo Opressor Memes,,1885144591808506,none,,,,7475,N/A,2020-10-26 09:42:51 BRT,2020-10-26,09:42:51,Photo,159,28,16,35,0,1,79,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1885144591808506/permalink/2806483393007950,,https://www.facebook.com/MovimentoIndependenteBR/photos/a.1433984366694949/3470736193019746/?type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da china e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",MIB,"Afinal, se o vírus que eles criaram está funcionando muito bem, a vacina com certeza também 'funcionará'! Rsrsrs!",,,,159,1.29
MICHELLE NOSSA PRIMEIRA DAMA,,284232652202547,none,,,,85843,N/A,2020-10-26 07:30:18 BRT,2020-10-26,07:30:18,Photo,149,33,54,33,0,0,20,0,9,0,,-,0,0,0,N/A,https://www.facebook.com/groups/284232652202547/permalink/720784415214033,,https://www.facebook.com/photo.php?fbid=3559733880716651&set=p.3559733880716651&type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da China e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",Marly,MAIS É UMA ANTA MESMO😂😂😂,,,,149,2.4
Bolsonaro até 2026 🇧🇷,,519992852044043,none,,,,4231,N/A,2020-10-26 17:11:21 BRT,2020-10-26,17:11:21,Link,148,28,42,42,0,0,28,0,8,0,,-,0,0,0,N/A,https://www.facebook.com/groups/519992852044043/permalink/654660131910647,,https://www.poraodamamae.com.br/se-o-virus-veio-da-china-e-funciona-por-que-a-vacina-nao-funcionaria-diz-ex-presidenta-dilma/?frame-nonce=cf7cd1f6a8,,,"Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma – Porão da Mamãe",A presidenta Dilma Rousseff falou nesta segunda feira com um grupo de pesquisadores encabeçado por Atila Iamarino. O assunto foi a vacina produzida na China. Os pesquisadores ainda estão muito...,,,,148,6.43
FILHOS DO DIVINO PAI ETERNO,,311898779313581,none,,,,42756,N/A,2020-10-25 22:27:56 BRT,2020-10-25,22:27:56,Photo,148,30,17,37,0,1,60,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/311898779313581/permalink/989770971526355,,https://www.facebook.com/photo.php?fbid=3751389648214037&set=p.3751389648214037&type=3,,"Luís Roberto ROWAACIMADE TUDO SNSO ACIMA DE TOOS @Luis_R_ _Oficial Se o vírus veio da China e funciona, por que a vacina não funcionaria? Dilma Rousseff #DoriaVaiCair 22:11 25out20 Twitter for Android",Luís,,,,,148,4.62
"REGINA DUARTE, A ETERNA NAMORADINHA, SEMPRE LEAL AO BRASIL !",,2499715230287560,none,,,,60481,N/A,2020-10-25 18:09:38 BRT,2020-10-25,18:09:38,Photo,135,29,46,34,0,0,24,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2499715230287560/permalink/2749327545326326,,https://www.facebook.com/MovimentoIndependenteBR/photos/a.1433984366694949/3470736193019746/?type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da china e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",MIB,"Afinal, se o vírus que eles criaram está funcionando muito bem, a vacina com certeza também 'funcionará'! Rsrsrs!",,,,135,1.9
GRUPO OLAVO DE CARVALHO,,825954890834995,none,,,,127121,N/A,2020-10-26 19:24:33 BRT,2020-10-26,19:24:33,Photo,63,9,12,11,0,0,24,0,7,0,,-,0,0,0,N/A,https://www.facebook.com/groups/825954890834995/permalink/3528860243877766,Sensacional,https://www.facebook.com/MovimentoIndependenteBR/photos/a.1433984366694949/3470736193019746/?type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da china e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",MIB,"Afinal, se o vírus que eles criaram está funcionando muito bem, a vacina com certeza também 'funcionará'! Rsrsrs!",,,,63,1.47
Grupo do Sikera júnior.,,669853277093321,none,,,,39926,N/A,2020-10-26 17:10:52 BRT,2020-10-26,17:10:52,Link,59,7,14,21,0,0,14,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/669853277093321/permalink/847229086022405,,https://www.poraodamamae.com.br/se-o-virus-veio-da-china-e-funciona-por-que-a-vacina-nao-funcionaria-diz-ex-presidenta-dilma/?frame-nonce=cf7cd1f6a8,,,"Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma – Porão da Mamãe",A presidenta Dilma Rousseff falou nesta segunda feira com um grupo de pesquisadores encabeçado por Atila Iamarino. O assunto foi a vacina produzida na China. Os pesquisadores ainda estão muito...,,,,59,1.74
PT NUNCA MAIS!,,162140954714949,none,,,,17169,N/A,2020-10-27 10:53:33 BRT,2020-10-27,10:53:33,Photo,45,15,4,11,0,1,12,1,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/162140954714949/permalink/695590161370023,,https://www.facebook.com/photo.php?fbid=401406637657586&set=p.401406637657586&type=3,,"WORD NEWS WORD_NEWS @WORD NEWSS Se ο vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma poraodamamae.com. 4:31PM 26deoutde2020 Android",Ricardo,MULA,,,,45,-1.02
GLOBOLIXO,,2260454527518906,none,,,,8015,N/A,2020-10-26 17:11:03 BRT,2020-10-26,17:11:03,Link,34,4,8,10,0,0,12,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2260454527518906/permalink/2858640507700302,,https://www.poraodamamae.com.br/se-o-virus-veio-da-china-e-funciona-por-que-a-vacina-nao-funcionaria-diz-ex-presidenta-dilma/?frame-nonce=cf7cd1f6a8,,,"Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma – Porão da Mamãe",A presidenta Dilma Rousseff falou nesta segunda feira com um grupo de pesquisadores encabeçado por Atila Iamarino. O assunto foi a vacina produzida na China. Os pesquisadores ainda estão muito...,,,,34,1.48
Polícia do Ceará,,859596157466327,none,,,,138330,N/A,2020-10-26 01:47:39 BRT,2020-10-26,01:47:39,Photo,28,7,2,7,0,0,12,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/859596157466327/permalink/3419737411452176,,https://www.facebook.com/MovimentoIndependenteBR/photos/a.1433984366694949/3470736193019746/?type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da china e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",MIB,"Afinal, se o vírus que eles criaram está funcionando muito bem, a vacina com certeza também 'funcionará'! Rsrsrs!",,,,28,-1.89
Fc Pastor Silas Malafaia,,539829499692821,none,,,,20000,N/A,2020-10-26 19:24:24 BRT,2020-10-26,19:24:24,Photo,21,7,9,3,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/539829499692821/permalink/1326410381034725,Sensacional,https://www.facebook.com/MovimentoIndependenteBR/photos/a.1433984366694949/3470736193019746/?type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da china e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",MIB,"Afinal, se o vírus que eles criaram está funcionando muito bem, a vacina com certeza também 'funcionará'! Rsrsrs!",,,,21,1.11
👉 Apoiadores  Bolsonaro Presidente 👈,,2293489024213240,none,,,,13469,N/A,2020-10-25 22:18:36 BRT,2020-10-25,22:18:36,Photo,17,4,0,4,0,0,9,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2293489024213240/permalink/2904278103134326,,https://www.facebook.com/photo.php?fbid=3751389648214037&set=p.3751389648214037&type=3,,"Luís Roberto ROWAACIMADE TUDO SNSO ACIMA DE TOOS @Luis_R_ _Oficial Se o vírus veio da China e funciona, por que a vacina não funcionaria? Dilma Rousseff #DoriaVaiCair 22:11 25out20 Twitter for Android",Luís,,,,,17,-1.82
Subtenente Ricardo com Presidente Bolsonaro,,1395962877263581,none,,,,1310,N/A,2020-10-27 14:06:31 BRT,2020-10-27,14:06:31,Photo,13,3,6,0,0,0,2,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1395962877263581/permalink/1482941151899086,,https://www.facebook.com/photo.php?fbid=401406637657586&set=p.401406637657586&type=3,,"WORD NEWS WORD_NEWS @WORD NEWSS Se ο vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma poraodamamae.com. 4:31PM 26deoutde2020 Android",Ricardo,MULA,,,,13,-0.28
Plantão de noticias NITERÓI,,1007398862647895,none,,,,7899,N/A,2020-10-26 21:41:47 BRT,2020-10-26,21:41:47,Photo,11,4,5,0,0,0,1,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1007398862647895/permalink/3442991019088655,,https://www.facebook.com/BolsoCarioca/photos/a.115122783262039/358870915553890/?type=3,,"Se Ο vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma Se o vírus veio da China e funciona, por que a vacina não funcionaria? diz ex-presidenta Dilma poraodamamae.com.br",BolsoCarioca,,,,,11,-1.82
Bolsonaro Conte Comigo!,,230528467298329,none,,,,3089,N/A,2020-10-25 20:30:48 BRT,2020-10-25,20:30:48,Photo,8,2,0,2,0,0,3,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/230528467298329/permalink/1325523131132185,,https://www.facebook.com/MovimentoIndependenteBR/photos/a.1433984366694949/3470736193019746/?type=3,,"DESEMPREGO BRASIL NOTÍCIAS Se o vírus veio da china e funciona, por que a vacina não funcionaria? Diz Dilma Rousseff",MIB,"Afinal, se o vírus que eles criaram está funcionando muito bem, a vacina com certeza também 'funcionará'! Rsrsrs!",,,,8,-3.12
