Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
BOLSONARO PRESIDENTE 2022,,563997587142697,none,,,,106234,N/A,2020-12-27 20:47:33 BRT,2020-12-27,20:47:33,Native Video,"1,072",139,273,420,0,16,132,2,90,0,share,-,0,5334579,0,00:00:29,https://www.facebook.com/groups/563997587142697/permalink/1533097590232687,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,,,,,,"1,072",22.33
"Crochê, Tricô, Artesanato e Paisagismo",,819510858254415,learning,,,,336938,N/A,2020-01-27 20:11:26 BRT,2020-01-27,20:11:26,Status,449,206,136,1,2,11,60,29,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/819510858254415/permalink/1210003969205100,Meninas que raiva. Estou aqui em Bauru vim numa consulta médica. Fico aqui o dia inteiro trouxe meu crochê é claro...viciada como estou não seria diferente..maissssss aí olho dentro da bolsa?cadê a agulha?ficou na outra bolsa que acabei trocando pq não iria caber minhas coisas. Enfim....não vou poder fazer crochê hj...aí que raiva viu.imagina a decepção ????,,,,,,,,,449,5.16
Thiago Lima desperte apoiadores,,564069384278581,none,,,,10661,N/A,2020-12-28 21:28:00 BRT,2020-12-28,21:28:00,Native Video,150,26,22,68,1,1,26,0,6,0,share,-,0,5334569,0,00:00:29,https://www.facebook.com/groups/564069384278581/permalink/690589981626520,Cadê a agulha???,,,,,,,,,150,6
FORÇABRASIL,,561813371057548,none,,,,281534,N/A,2020-12-27 19:54:51 BRT,2020-12-27,19:54:51,Native Video,103,18,25,41,0,1,11,0,7,0,share,-,0,5334611,0,00:00:29,https://www.facebook.com/groups/561813371057548/permalink/1052227325349481,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,,,,,,103,2.24
Bolsonaro 2022,,347555432645817,none,,,,170802,N/A,2020-12-27 19:54:19 BRT,2020-12-27,19:54:19,Native Video,95,16,31,35,0,0,9,0,4,0,share,-,0,5334489,0,00:00:29,https://www.facebook.com/groups/347555432645817/permalink/947538032647551,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,,,,,,95,1.9
Aliança Pelo Brasil 🔰,,714546562382974,none,,,,138346,N/A,2020-12-27 19:54:49 BRT,2020-12-27,19:54:49,Native Video,87,14,24,33,0,0,10,0,6,0,share,-,0,5334484,0,00:00:29,https://www.facebook.com/groups/714546562382974/permalink/1127627514408208,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,,,,,,87,1.93
JAIR MESSIAS BOLSONARO,,1660323857593756,none,,,,123345,N/A,2020-12-27 19:54:04 BRT,2020-12-27,19:54:04,Native Video,70,8,21,28,0,0,7,0,6,0,share,-,0,5334605,0,00:00:29,https://www.facebook.com/groups/1660323857593756/permalink/2662266634066135,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,,,,,,70,1.37
Você escolhe sair da Matrix.,,528671481228256,learning,,,,19170,N/A,2020-12-31 07:51:48 BRT,2020-12-31,07:51:48,Native Video,63,14,8,23,0,1,13,0,4,0,share,-,0,5334565,0,00:00:29,https://www.facebook.com/groups/528671481228256/permalink/870164003745667,"Não sabe nem mentir,cadê a agulha???",,,,,,,,,63,2.42
JAIR BOLSONARO - O MITO.!,,473122700191150,none,,,,39934,N/A,2020-12-27 19:54:18 BRT,2020-12-27,19:54:18,Native Video,61,11,25,20,0,0,3,0,2,0,share,-,0,5334585,0,00:00:29,https://www.facebook.com/groups/473122700191150/permalink/878357116334371,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,,,,,,61,2.03
SÃO SEBASTIÃO OFICIAL-DF(FLORINDO RIBEIRO),,226017664243145,none,,,,115529,N/A,2020-12-28 08:29:54 BRT,2020-12-28,08:29:54,Native Video,60,10,24,12,0,2,11,1,0,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/226017664243145/permalink/1770201699824726,Cadê a agulha? Me engana que eu gosto 😂. Se nem eles tem coragem de tomar a vacina chinesa imagina eu 😂😂😂,https://www.facebook.com/groups/226017664243145/permalink/1770201699824726/,,,,,,,,60,1.33
Mulheres com Bolsonaro_Presidente,,687536694941733,none,,,,1113,N/A,2020-12-27 19:56:35 BRT,2020-12-27,19:56:35,Native Video,54,5,4,37,0,1,3,0,4,0,share,-,0,5334551,0,00:00:29,https://www.facebook.com/groups/687536694941733/permalink/1300056507023079,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,,,,,,54,2.57
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644848,N/A,2020-12-21 18:04:37 BRT,2020-12-21,18:04:37,Link,54,2,28,3,0,0,21,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1227355087974017,https://www.cnnbrasil.com.br/internacional/2020/12/21/joe-biden-presidente-eleito-dos-estados-unidos-recebe-vacina-contra-a-covid-19 cadê a agulha invisível ou preciso usar óculos ???,https://www.cnnbrasil.com.br/internacional/2020/12/21/joe-biden-presidente-eleito-dos-estados-unidos-recebe-vacina-contra-a-covid-19,,,"Joe Biden, presidente eleito dos Estados Unidos, recebe vacina contra a Covid-19","Joe Biden, presidente eleito dos Estados Unidos, recebe vacina contra a Covid-19Luana Franzão*, da CNN, em São Paulo21 de dezembro de 2020 às 17:23 | Atualizado 21 de dezembro de 2020 às 17:44 Compartilhar O presidente eleito dos Estados Unidos, Joe Biden, recebeu nesta segunda-feira (21) a vaci...",,,,54,-2.57
Fã Clube Do FIUU & FIAA,,965141300632130,none,,,,N/A,N/A,2020-12-28 03:09:48 BRT,2020-12-28,03:09:48,Native Video,48,20,5,11,1,0,10,0,1,0,share,No,1257,94595,0,00:00:29,https://www.facebook.com/groups/965141300632130/permalink/1061767870969472,Cadê a agulha? Me engana que eu gosto 😂. Se nem eles tem coragem de tomar a vacina chinesa imagina eu 😂😂😂 Instagram 👇 https://instagram.com/fiuu_fiaa?igshid=8j27xq1fy8hk,https://www.facebook.com/Fiu.e.Fia/videos/3418258264952797/,,,,,,,,48,1
Paola oliveira,,514642872042414,none,,,,41781,N/A,2020-12-30 09:43:55 BRT,2020-12-30,09:43:55,Native Video,41,10,9,15,0,2,5,0,0,0,share,-,0,5334571,0,00:00:29,https://www.facebook.com/groups/514642872042414/permalink/1740502022789820,Cadê a agulha? Olha aí o 71,,,,,,,,,41,1.78
Bolsonaro 2022,,347555432645817,none,,,,170802,N/A,2020-12-27 20:00:18 BRT,2020-12-27,20:00:18,Link,41,4,3,29,1,0,3,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/347555432645817/permalink/947540339313987,,,,,This is a re-share of a post,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,41,-1.59
Aliança pelo Brasil,,251820432138395,none,,,,262985,N/A,2020-12-29 10:46:30 BRT,2020-12-29,10:46:30,Native Video,38,6,6,16,0,0,4,0,6,0,share,-,0,5334606,0,00:00:29,https://www.facebook.com/groups/251820432138395/permalink/852025868784512,"Cadê a agulha 😡 Se nem eles tomam a vacina chinesa, ainda querem enganar o povo...😡",,,,,,,,,38,-2.61
CachoeiroAntiCorruptos,,269101067669635,none,,,,1318,N/A,2020-12-27 22:27:39 BRT,2020-12-27,22:27:39,Native Video,37,3,13,12,0,0,9,0,0,0,share,-,0,5334648,0,00:00:29,https://www.facebook.com/groups/269101067669635/permalink/404336870812720,_ Cadê a agulha ???? Kkkkk🤣😂🤣😂,,,,,,,,,37,1.68
FORÇABRASIL,,561813371057548,none,,,,281534,N/A,2020-12-27 19:58:44 BRT,2020-12-27,19:58:44,Link,32,1,0,29,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/561813371057548/permalink/1052229338682613,,,,,This is a re-share of a post,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,32,-1.62
ALIANÇA PELO BRASIL [apoio],,459921961553963,none,,,,180534,N/A,2020-12-27 19:58:45 BRT,2020-12-27,19:58:45,Link,27,1,4,19,0,2,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/459921961553963/permalink/814386356107520,,,,,This is a re-share of a post,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,27,-2.15
ALIANÇA PELO BRASIL(OFICIAL),,584212892325072,none,,,,91420,N/A,2020-12-20 10:08:30 BRT,2020-12-20,10:08:30,Native Video,24,3,2,16,0,0,0,0,3,0,share,-,0,0,0,00:00:00,https://www.facebook.com/groups/584212892325072/permalink/951341745612183,,https://www.facebook.com/groups/381409212794551/permalink/716194175982718/,,,Eduardo,CANALHAS!!! Cadê a agulha!?🤡🤡🤡,,,,24,-2.17
PIQUETE EM DEBATE,,322327227777482,none,,,,22415,N/A,2020-12-30 17:20:54 BRT,2020-12-30,17:20:54,Native Video,21,3,8,5,0,0,3,0,2,0,share,-,0,5334578,0,00:00:29,https://www.facebook.com/groups/322327227777482/permalink/3917607721582730,Cadê a agulha e nem apertou a seringas.,,,,,,,,,21,1.05
JAIR BOLSONARO - O MITO.!,,473122700191150,none,,,,39934,N/A,2020-12-27 20:00:16 BRT,2020-12-27,20:00:16,Link,18,0,4,12,0,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/473122700191150/permalink/878358973000852,,,,,This is a re-share of a post,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,18,-3.22
Mercado livre Barreiras,,443734505717215,none,,,,66094,N/A,2020-12-31 19:29:09 BRT,2020-12-31,19:29:09,Native Video,15,3,3,5,0,0,4,0,0,0,share,No,0,94595,0,00:00:29,https://www.facebook.com/groups/443734505717215/permalink/3573165672774067,,https://www.facebook.com/Fiu.e.Fia/videos/3418258264952797/,,,FIUU FIUU,"Cadê a agulha?  Me engana que eu gosto 😂.
Se nem eles tem coragem de tomar a vacina chinesa imagina eu 😂😂😂

Instagram 👇
https://instagram.com/fiuu_fiaa?igshid=8j27xq1fy8hk",,,,15,-3.07
EDUARDO BOLSONARO [OFICIAL],,261034991653232,none,,,,43741,N/A,2020-12-20 10:06:41 BRT,2020-12-20,10:06:41,Native Video,15,1,2,10,0,0,2,0,0,0,share,-,0,0,0,00:00:00,https://www.facebook.com/groups/261034991653232/permalink/392121918544538,,https://www.facebook.com/groups/381409212794551/permalink/716194175982718/,,,Eduardo,CANALHAS!!! Cadê a agulha!?🤡🤡🤡,,,,15,-3.33
Uma Pitada de Humor😂😂😝,,1789262281207712,none,,,,13229,N/A,2021-01-01 20:37:49 BRT,2021-01-01,20:37:49,Native Video,15,4,0,7,0,0,4,0,0,0,share,-,0,5334550,0,00:00:29,https://www.facebook.com/groups/1789262281207712/permalink/2277625355704733,Cadê a agulha mesmo. Oxente.kkkk,,,,,,,,,15,-2.6
"PRAIA DO CANTO, onde tudo acontece.",,454631561334396,none,,,,11795,N/A,2020-12-27 19:05:25 BRT,2020-12-27,19:05:25,Native Video,15,2,5,5,0,0,3,0,0,0,share,-,0,5334575,0,00:00:29,https://www.facebook.com/groups/454631561334396/permalink/2174366429360892,Cadê a agulha . Idiotas,,,,,,,,,15,0.79
MOOCA NA VEIA,,210161756385494,none,,,,4891,N/A,2020-12-28 17:42:39 BRT,2020-12-28,17:42:39,Native Video,14,4,3,4,0,0,2,0,1,0,share,No,0,6856,0,00:00:17,https://www.facebook.com/groups/210161756385494/permalink/859712801430383,,https://www.facebook.com/daniela.silva.33483903/videos/10224458496279906/,,,Daniela,Cadê a agulha? 🤡,,,,14,-1.79
Aliança Pelo Brasil 🔰,,714546562382974,none,,,,138346,N/A,2020-12-27 19:58:43 BRT,2020-12-27,19:58:43,Link,14,1,2,11,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/714546562382974/permalink/1127628941074732,,,,,This is a re-share of a post,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,14,-3.43
Vale do Nióbio Brasil,,508097099238489,none,,,,2607,N/A,2020-12-24 21:01:19 BRT,2020-12-24,21:01:19,Native Video,13,2,0,6,0,1,4,0,0,0,share,-,0,1136009,0,00:00:22,https://www.facebook.com/groups/508097099238489/permalink/3518006914914144,Oxx cadê a agulha???,,,,This is a re-share of a post,O teatro da Elite mundial,,,,13,-0.07
JAIR MESSIAS BOLSONARO,,1660323857593756,none,,,,123345,N/A,2020-12-27 20:00:04 BRT,2020-12-27,20:00:04,Link,9,0,0,9,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1660323857593756/permalink/2662268754065923,,,,,This is a re-share of a post,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,9,-4
PATROCINIO  ALERTA 🔺️🔻🇧🇷,,323177988351879,none,,,,1588,N/A,2021-01-07 23:04:27 BRT,2021-01-07,23:04:27,Native Video,7,6,1,0,0,0,0,0,0,0,share,No,0,551,0,00:04:14,https://www.facebook.com/groups/323177988351879/permalink/668227150513626,Cadê a agulha ??????🤔🤔🤔🤔🤔,https://www.facebook.com/luizcarlos.dorneles.3/videos/3573079419450349/,,,Luiz Carlos,"POLITICOS SE VACINAM SEM AGULHAS
E ATÉ SEM SERINGA?
ESTAMOS SENDO ENGANADOS!",,,,7,-2.71
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,633273,N/A,2020-07-22 19:14:58 BRT,2020-07-22,19:14:58,Native Video,7,1,4,0,0,0,0,0,2,0,share,No,0,0,0,00:00:48,https://www.facebook.com/groups/147276449315225/permalink/1083626249013569,Cadê a agulha... porque tapar???,https://www.facebook.com/100004538116535/videos/1497583517069571/,,,Angela,"O que dizem dessa ""cena""???... taquepariu... detalhe: o cara tapa com a mão ...",,,,7,-8.57
Acorda Ribeirão das Neves(Acorda Neves),,308015902675200,none,,,,10903,N/A,2020-12-30 14:01:05 BRT,2020-12-30,14:01:05,Native Video,6,1,5,0,0,0,0,0,0,0,share,No,0,74,0,00:00:29,https://www.facebook.com/groups/308015902675200/permalink/2257215414421896,,https://www.facebook.com/antoniocarlos.queiroga.1/videos/200126878425865/,,,Antonio Carlos,CADÊ A AGULHA E O ALGODÃO???,,,,6,-4.67
COMUNIDADE CHORROCHOONLINE,,1526618124332795,none,,,,3828,N/A,2021-01-09 18:49:07 BRT,2021-01-09,18:49:07,Native Video,6,0,1,3,0,0,0,0,2,0,share,No,0,3137,0,00:04:14,https://www.facebook.com/groups/1526618124332795/permalink/2795723987422196,,https://www.facebook.com/sandra.campos.1048/videos/3967540903290982/,,,Sandra,"Cadê a agulha, cadê o líquido e o êmbolo...??? Kkkkkkk",,,,6,-3.17
Oloares Ferreira Balanço Geral,,647377451956782,none,,,,51156,N/A,2020-12-28 18:59:05 BRT,2020-12-28,18:59:05,Native Video,6,0,3,0,0,0,3,0,0,0,share,No,0,94595,0,00:00:29,https://www.facebook.com/groups/647377451956782/permalink/4141553329205826,Olhem isso que enganação,https://www.facebook.com/Fiu.e.Fia/videos/3418258264952797/,,,FIUU FIUU,"Cadê a agulha?  Me engana que eu gosto 😂.
Se nem eles tem coragem de tomar a vacina chinesa imagina eu 😂😂😂

Instagram 👇
https://instagram.com/fiuu_fiaa?igshid=8j27xq1fy8hk",,,,6,-4.67
Bruno Félix,,232835956738569,none,,,,4754,N/A,2021-01-02 08:58:59 BRT,2021-01-02,08:58:59,Native Video,5,1,1,0,0,1,1,0,1,0,share,No,0,408,0,00:00:37,https://www.facebook.com/groups/232835956738569/permalink/3803248923030570,,https://www.facebook.com/bruno.felix.125/videos/3846651948698506/,,,Bruno,"""A Ministra da Saúde do Canadá recebeu a picadinha ao vivo para dar exemplo ao gado deles. Só que, ué, cadê a agulha???""",,,,5,-4
Gutierrez - Meu bairro,,1310833428954619,none,,,,7052,N/A,2020-12-30 14:01:25 BRT,2020-12-30,14:01:25,Native Video,5,1,4,0,0,0,0,0,0,0,share,No,0,74,0,00:00:29,https://www.facebook.com/groups/1310833428954619/permalink/3632367943467811,,https://www.facebook.com/antoniocarlos.queiroga.1/videos/200126878425865/,,,Antonio Carlos,CADÊ A AGULHA E O ALGODÃO???,,,,5,-0.72
Alexandre Garcia (apoio),,320015182559165,none,,,,15274,N/A,2020-12-30 13:59:13 BRT,2020-12-30,13:59:13,Native Video,4,1,3,0,0,0,0,0,0,0,share,No,0,74,0,00:00:29,https://www.facebook.com/groups/320015182559165/permalink/395019618392054,,https://www.facebook.com/antoniocarlos.queiroga.1/videos/200126878425865/,,,Antonio Carlos,CADÊ A AGULHA E O ALGODÃO???,,,,4,-7.25
MORRO DAS PEDRAS BH,,264362347075402,none,,,,12800,N/A,2020-12-30 14:00:11 BRT,2020-12-30,14:00:11,Native Video,4,1,3,0,0,0,0,0,0,0,share,No,0,74,0,00:00:29,https://www.facebook.com/groups/264362347075402/permalink/1687290134782609,,https://www.facebook.com/antoniocarlos.queiroga.1/videos/200126878425865/,,,Antonio Carlos,CADÊ A AGULHA E O ALGODÃO???,,,,4,-4.75
C9N NOTICIAS PY,,460793757762611,none,,,,210611,N/A,2020-12-21 14:24:49 BRT,2020-12-21,14:24:49,Native Video,4,1,1,1,0,0,1,0,0,0,share,-,0,0,0,00:00:00,https://www.facebook.com/groups/460793757762611/permalink/1065106233998024,Donde está la aguja!?,https://www.facebook.com/groups/381409212794551/permalink/716194175982718/,,,Eduardo,CANALHAS!!! Cadê a agulha!?🤡🤡🤡,,,,4,-9.25
Bárbara - Te Atualizei 🇧🇷,,671689840082797,none,,,,38738,N/A,2020-12-28 11:47:39 BRT,2020-12-28,11:47:39,Link,3,1,1,1,0,0,0,0,0,0,,No,0,0,0,N/A,https://www.facebook.com/groups/671689840082797/permalink/808095233108923,,,,,This is a re-share of a post,Cadê a agulha? Ela não aperta seringa! kkkkkkkkkk,,,,3,-20.67
