Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Nós Somos a Força - O povo aprova ou veta  projetos!!,,1956509657762488,none,,,,4958,N/A,2021-03-12 21:21:39 BRT,2021-03-12,21:21:39,Photo,16,2,1,11,0,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1956509657762488/permalink/3784439401636162,,https://www.facebook.com/photo.php?fbid=10215676021328600&set=p.10215676021328600&type=3,,"20:37 Instagram Ver tradução #stfvergonhamundial cintiasposito Mooca Governadores 'escondem' vacinas para desestabilizar o presidente Bolsonaro Curtido por sergiobrasil38 e outras pessoas cintiasposito HORA DO POVO AGIR PARA Ο MITO BOTAR PRA QUEBRAR JUNTO AS FORÇAS ARMADAS!!!! #repost @presidentebolsonarobr o recado foi dado, assistam até o final!",Gladstone,,,,,16,-1.19
FÃS e AMIGOS do Gustavo Victorino,,476546179805042,none,,,,19842,N/A,2021-03-08 12:52:27 BRT,2021-03-08,12:52:27,Link,15,3,5,3,0,0,0,2,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/476546179805042/permalink/871509530308703,,https://roteirodenoticias.com.br/destaques/2021/03/governadores-escondem-vacinas-para-desestabilizar-o-presidente-bolsonaro/,,,Governadores ‘escondem’ vacinas para desestabilizar o presidente Bolsonaro,"Apesar da carta em que se declararam “no limite”, os governadores de 14 estados brasileiros aplicaram só 60% das vacinas. A canalhice dos governadores se revela em números e demonstram que está em …",,,,15,-3.4
GUARDIÕES DO BRASIL,,162242907682445,none,,,,39075,N/A,2021-03-07 10:50:18 BRT,2021-03-07,10:50:18,Link,14,3,2,7,0,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/162242907682445/permalink/880684832504912,https://roteirodenoticias.com.br/destaques/2021/03/governadores-escondem-vacinas-para-desestabilizar-o-presidente-bolsonaro/,https://roteirodenoticias.com.br/destaques/2021/03/governadores-escondem-vacinas-para-desestabilizar-o-presidente-bolsonaro/,,,Governadores ‘escondem’ vacinas para desestabilizar o presidente Bolsonaro,"Apesar da carta em que se declararam “no limite”, os governadores de 14 estados brasileiros aplicaram só 60% das vacinas. A canalhice dos governadores se revela em números e demonstram que está em …",,,,14,-0.12
MOVIMENTO DO POVO BRASILEIRO,,1922690967956871,none,,,,46374,N/A,2021-03-11 21:51:58 BRT,2021-03-11,21:51:58,Photo,14,4,2,8,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1922690967956871/permalink/3558836961008922,,https://www.facebook.com/photo.php?fbid=3672848622811984&set=p.3672848622811984&type=3,,"Governadores ESCONDENDO vacinas para desestabilizar o Presidente!? Parece ficção!!! Sqn!!! A política brasileira realmente não é para amadores, revoltante e triste termos nela um grande número de meliantes profissionais sustentados por nós!!! #%!& #%!& #%!& Governadores 'escondem vacinas para desestabilizar o presidente Bolsonaro roteirodenoticias.com.br",Fernando,,,,,14,-3.71
ÚLTIMAS NOTICIAS DE BARCARENA,,442177272596689,none,,,,40794,N/A,2021-03-21 10:12:23 BRT,2021-03-21,10:12:23,Link,13,9,1,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/442177272596689/permalink/1837690406378695,"*Governadores ‘escondem’ vacinas para desestabilizar o presidente Bolsonaro* Apesar da carta em que se declararam “no limite”, os governadores de 14 estados brasileiros aplicaram só 60% das vacinas. A canalhice dos governadores se revela em números e demonstram que está em curso uma política para desestabilizar o presidente Jair Bolsonaro. Subscreveram a carta governadores do PT, PSB, MDB, PCdoB, PSDB, PDT, DEM e PSD. Foram disponibilizadas aos estados 6,07 milhões de vacinas, das quais resultaram aplicadas apenas 3,8 milhões, segundo a plataforma vacinabrasil.org, do Laboratório de Estudos Espaciais do Centro de Pesquisas Computacionais da Rice University, de Houston (EUA), que monitora a vacinação no mundo. No Piauí, estado governado pelo petista Wellington Dias, do Fórum de Governadores, foram aplicadas apenas 108,3 mil. No Maranhão, do acaciano Flávio Dino (PCdoB), foram aplicadas 229.270 doses, (51%) das 448.040 vacinas enviadas pelo Ministério da Saúde. Das 1.111.200 doses disponibilizadas para a Bahia, de Rui Costa (PT), só 58% foram usadas. No Ceará do petista Camilo Santana, 437 mil (62%). Por incompetência ou má-fé, os governadores enfrentam o problema da superlotação nas unidades de saúde e aumentam o número de óbitos. https://roteirodenoticias.com.br/destaques/2021/03/governadores-escondem-vacinas-para-desestabilizar-o-presidente-bolsonaro/",http://vacinabrasil.org/,,,Vacinação contra COVID-19 no Brasil - Rice University,Dashboard para acompanhamento da vacinação contra COVID-19 em cada estado do Brasil. Mapa interativo e gráficos de evolução histórica.,,,,13,-3.23
"GRUPO 100% Bolsonaro ""Aliança Pelo Brasil""",,1542511269345370,none,,,,5300,N/A,2021-03-12 21:18:41 BRT,2021-03-12,21:18:41,Photo,9,2,1,4,0,1,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1542511269345370/permalink/2773418606254624,,https://www.facebook.com/photo.php?fbid=10215676021328600&set=p.10215676021328600&type=3,,"20:37 Instagram Ver tradução #stfvergonhamundial cintiasposito Mooca Governadores 'escondem' vacinas para desestabilizar o presidente Bolsonaro Curtido por sergiobrasil38 e outras pessoas cintiasposito HORA DO POVO AGIR PARA Ο MITO BOTAR PRA QUEBRAR JUNTO AS FORÇAS ARMADAS!!!! #repost @presidentebolsonarobr o recado foi dado, assistam até o final!",Gladstone,,,,,9,-2.11
Carla Zambelli,,1371084053086614,none,,,,29197,N/A,2021-03-11 21:51:30 BRT,2021-03-11,21:51:30,Photo,8,2,0,3,0,0,0,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1371084053086614/permalink/1516689095192775,,https://www.facebook.com/photo.php?fbid=3672848622811984&set=p.3672848622811984&type=3,,"Governadores ESCONDENDO vacinas para desestabilizar o Presidente!? Parece ficção!!! Sqn!!! A política brasileira realmente não é para amadores, revoltante e triste termos nela um grande número de meliantes profissionais sustentados por nós!!! #%!& #%!& #%!& Governadores 'escondem vacinas para desestabilizar o presidente Bolsonaro roteirodenoticias.com.br",Fernando,,,,,8,-5.88
Bolsonaro Direita Fortaleza - Ceara.,,873957133040469,none,,,,2010,N/A,2021-03-10 12:56:24 BRT,2021-03-10,12:56:24,Link,8,0,1,7,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/873957133040469/permalink/1137510236685156,https://roteirodenoticias.com.br/destaques/2021/03/governadores-escondem-vacinas-para-desestabilizar-o-presidente-bolsonaro/,https://roteirodenoticias.com.br/destaques/2021/03/governadores-escondem-vacinas-para-desestabilizar-o-presidente-bolsonaro/,,,Governadores ‘escondem’ vacinas para desestabilizar o presidente Bolsonaro,"Apesar da carta em que se declararam “no limite”, os governadores de 14 estados brasileiros aplicaram só 60% das vacinas. A canalhice dos governadores se revela em números e demonstram que está em …",,,,8,-0.56
Pátria Amada Brasil,,570259603404596,none,,,,3601,N/A,2021-03-12 15:26:25 BRT,2021-03-12,15:26:25,Photo,7,1,2,3,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/570259603404596/permalink/1178568979240319,,https://www.facebook.com/photo.php?fbid=4006123959446282&set=p.4006123959446282&type=3,,Governadores 'escondem' vacinas para desestabilizar o presidente Bolsonaro,Max,"#STFVergonhaMundial deu poderes a estes canalhas,  agora fazem de tudo  !!
🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱🇦🇱",,,,7,-0.36
FÃ CLUBE ROBERTA COLTRO,,2679379092346273,none,,,,23533,N/A,2021-03-08 12:52:48 BRT,2021-03-08,12:52:48,Link,6,4,1,0,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2679379092346273/permalink/2949196685364511,,https://roteirodenoticias.com.br/destaques/2021/03/governadores-escondem-vacinas-para-desestabilizar-o-presidente-bolsonaro/,,,Governadores ‘escondem’ vacinas para desestabilizar o presidente Bolsonaro,"Apesar da carta em que se declararam “no limite”, os governadores de 14 estados brasileiros aplicaram só 60% das vacinas. A canalhice dos governadores se revela em números e demonstram que está em …",,,,6,-5.67
