Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Aliança Pelo Brasil 🔰,,714546562382974,none,,,,138323,N/A,2020-12-30 12:10:02 BRT,2020-12-30,12:10:02,Photo,404,68,89,125,0,5,95,2,20,0,,-,0,0,0,N/A,https://www.facebook.com/groups/714546562382974/permalink/1129500374220922,,https://www.facebook.com/photo.php?fbid=3568881789855832&set=p.3568881789855832&type=3,,,Luiz,"A vice-presidente Argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. O Natal é mágico !!",,,,404,6.52
ALIANÇA PELO BRASIL [apoio],,459921961553963,none,,,,180669,N/A,2020-12-31 15:31:36 BRT,2020-12-31,15:31:36,Photo,314,66,44,117,1,5,73,2,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/459921961553963/permalink/817782529101236,Argentino vive um “tango” interminável! Que tristeza!,https://www.facebook.com/photo.php?fbid=5013793898661459&set=p.5013793898661459&type=3,,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, também sem máscara, nem a enfermeira nem ela. o Natal é mágico!! amwald.com",Claudemir,,,,,314,3.05
Aliança pelo Brasil 38,,565098544264960,none,,,,208181,N/A,2020-12-30 09:10:06 BRT,2020-12-30,09:10:06,Photo,245,55,35,83,0,3,56,1,12,0,,-,0,0,0,N/A,https://www.facebook.com/groups/565098544264960/permalink/975235346584609,,https://www.facebook.com/photo.php?fbid=419688822564411&set=p.419688822564411&type=3,,,Afonso,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara.

Nem a competente enfermeira nem ela. O Natal é mágico"" !!

A vacina  é tão poderosa que nenhum político  quer .",,,,245,3.66
Rodrigo Constantino,,814358782629829,none,,,,N/A,N/A,2020-12-31 10:46:38 BRT,2020-12-31,10:46:38,Photo,183,30,25,94,0,1,25,0,8,0,,-,0,0,0,N/A,https://www.facebook.com/groups/814358782629829/permalink/827715864627454,"A vice-presidente Argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. O Natal é mágico !!",https://www.facebook.com/photo.php?fbid=1749521385208268&set=gm.827715864627454&type=3,,,,,,,,183,3.21
Weintraub para Governador [Oficial],,1195287314150373,none,,,,N/A,N/A,2021-01-03 14:00:30 BRT,2021-01-03,14:00:30,Photo,180,45,34,74,0,1,10,0,16,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1195287314150373/permalink/1359437241068712,,https://www.facebook.com/photo.php?fbid=2795845044066719&set=p.2795845044066719&type=3,,"OSMOSE @CRISTINAFKIRCHNER TOMA VERGONHA NA CARA A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha sem luvas e sem seringa, também sem máscara, nem a enfermeira nem ela. o Natal é mágico!! É UMA PALHAÇADA MESMO,SEM SEM SERINGA, SEM LUVA, SEM MÁSCARA,E APLICA NO OMBRO",Claudio,Coisa ridícula.,,,,180,-1.18
Aliança Pelo Brasil,,172987647356981,none,,,,24988,N/A,2020-12-30 21:44:54 BRT,2020-12-30,21:44:54,Photo,134,21,27,48,0,1,21,0,16,0,,-,0,0,0,N/A,https://www.facebook.com/groups/172987647356981/permalink/314628839859527,,https://www.facebook.com/photo.php?fbid=1026020317920236&set=p.1026020317920236&type=3,,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. Ο Natal é mágico!!",Maria,QUEREM ENGANAR????🙄,,,,134,1.52
#Globolixo,,1844897409130363,learning,,,,92951,N/A,2020-12-30 08:19:29 BRT,2020-12-30,08:19:29,Photo,133,26,21,56,0,1,29,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1844897409130363/permalink/3009484402671652,Aí fica fácil tomar vacina kkkkk,https://www.facebook.com/photo.php?fbid=3355141701263260&set=p.3355141701263260&type=3,,,Almir,"Via: Lena Streicher
"" A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. O Natal é mágico"" !!
A vacina  é tão poderosa que nenhum político  quer .",,,,133,2.02
ALIANÇA PELO BRASIL(OFICIAL),,584212892325072,none,,,,91224,N/A,2021-01-01 20:50:28 BRT,2021-01-01,20:50:28,Photo,119,17,21,59,0,1,16,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/groups/584212892325072/permalink/961785691234455,,https://www.facebook.com/photo.php?fbid=2873579542964424&set=p.2873579542964424&type=3,,"Edson Geraldo curtiu Delegado M Quezado @Ma... 1h A vice-presidente argentina, é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e, também, sem máscara. Nem a competente enfermeira, nem ela. 74 7377 377 828",Enori,A satanista enganando  seus adoradores.,,,,119,1.32
Ratinho,,1040363459811631,none,,,,N/A,N/A,2021-01-03 17:01:28 BRT,2021-01-03,17:01:28,Photo,102,21,24,37,0,0,16,1,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1040363459811631/permalink/1048376709010306,,https://www.facebook.com/photo.php?fbid=10223330092338133&set=p.10223330092338133&type=3,,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, também sem máscara, nem a enfermeira nem ela. o Natal é mágico!!",Joel,,,,,102,2.37
Rodrigo Constantino,,814358782629829,none,,,,N/A,N/A,2021-01-01 08:41:20 BRT,2021-01-01,08:41:20,Photo,94,28,13,29,1,1,14,1,7,0,,-,0,0,0,N/A,https://www.facebook.com/groups/814358782629829/permalink/828383264560714,,https://www.facebook.com/photo.php?fbid=1749521385208268&set=gm.827715864627454&type=3,,,Biazus,"A vice-presidente Argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. O Natal é mágico !!",,,,94,1.65
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644957,N/A,2020-12-30 11:32:58 BRT,2020-12-30,11:32:58,Photo,90,24,10,34,1,0,17,1,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1233417774034415,Lembra até o Dória quando simulou tomar a coronavac. 2 semanas depois disse estar com Covid. São uns moleques tirando um sarro da sociedade.,https://www.facebook.com/photo.php?fbid=419688822564411&set=p.419688822564411&type=3,,,Afonso,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara.

Nem a competente enfermeira nem ela. O Natal é mágico"" !!

A vacina  é tão poderosa que nenhum político  quer .",,,,90,-2.3
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644836,N/A,2021-01-01 01:06:23 BRT,2021-01-01,01:06:23,Photo,79,17,10,26,0,0,25,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1234547023921490,,https://www.facebook.com/photo.php?fbid=1354881294862323&set=p.1354881294862323&type=3,,"Luiz Carrano 13 h A vice-presidente Argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. o Natal é mágico!!",Flaviano,,,,,79,-2.62
Aliança Pelo Brasil 🔰,,714546562382974,none,,,,138323,N/A,2020-12-30 11:34:54 BRT,2020-12-30,11:34:54,Photo,78,16,6,29,0,4,18,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/groups/714546562382974/permalink/1129481887556104,,https://www.facebook.com/photo.php?fbid=419688822564411&set=p.419688822564411&type=3,,,Afonso,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara.

Nem a competente enfermeira nem ela. O Natal é mágico"" !!

A vacina  é tão poderosa que nenhum político  quer .",,,,78,1.26
#Grupo De Apoio Ao Juíz  Oscar Anibal Chiappano#,,3842053515822977,none,,,,9371,N/A,2020-12-30 21:12:49 BRT,2020-12-30,21:12:49,Photo,77,21,16,22,0,0,11,1,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/3842053515822977/permalink/4474405369254452,,https://www.facebook.com/photo.php?fbid=1026020317920236&set=p.1026020317920236&type=3,,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. Ο Natal é mágico!!",Maria,QUEREM ENGANAR????🙄,,,,77,3.21
FÃS e AMIGOS do Gustavo Victorino,,476546179805042,none,,,,19771,N/A,2020-12-30 20:11:55 BRT,2020-12-30,20:11:55,Photo,74,11,21,20,0,0,16,0,6,0,,-,0,0,0,N/A,https://www.facebook.com/groups/476546179805042/permalink/831884537604536,,https://www.facebook.com/photo.php?fbid=3568881789855832&set=p.3568881789855832&type=3,,,Luiz,"A vice-presidente Argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. O Natal é mágico !!",,,,74,1.07
🇧🇷NAÇÃO PATRIÓTICA🇧🇷   APOIO A JAIR MESSIAS BOLSONARO😎,,787853001558289,none,,,,18103,N/A,2020-12-31 16:26:11 BRT,2020-12-31,16:26:11,Photo,74,11,15,31,0,0,12,1,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/787853001558289/permalink/1430547303955519,,https://www.facebook.com/photo.php?fbid=3770354389726082&set=p.3770354389726082&type=3,,"A vice-presidente argentina, é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e, também, sem máscara. Nem a competente enfermeira, nem ela. 17:36 30 dez 20 Twitter for Android",Martinho,A vacinada de Taubaté.,,,,74,2.39
Direita Conservadora Cachoeiras de Macacu,,578840605908019,none,,,,818,N/A,2020-12-30 14:26:08 BRT,2020-12-30,14:26:08,Photo,60,8,24,13,0,1,14,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/578840605908019/permalink/1151005462024861,,https://www.facebook.com/photo.php?fbid=198535368616254&set=p.198535368616254&type=3,,,Lucia,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela.",,,,60,2.14
#Globolixo,,1844897409130363,learning,,,,92959,N/A,2020-12-31 19:09:46 BRT,2020-12-31,19:09:46,Photo,56,9,19,16,0,1,9,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1844897409130363/permalink/3010829792537113,,https://www.facebook.com/photo.php?fbid=2837224366547184&set=p.2837224366547184&type=3,,"A vice-presidente Argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. o Natal é mágico!!",Marco,,,,,56,-1.18
"REGINA DUARTE, A ETERNA NAMORADINHA, SEMPRE LEAL AO BRASIL !",,2499715230287560,none,,,,60652,N/A,2021-01-02 23:19:26 BRT,2021-01-02,23:19:26,Photo,52,8,12,23,0,0,6,1,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2499715230287560/permalink/2808358739423206,,https://www.facebook.com/photo.php?fbid=454690298856969&set=p.454690298856969&type=3,,"A vice-presidente argentina é a primeira mulher a ser vacinada sem agulha, sem luvas e sem seringa, e também sem máscara. Nem a competente enfermeira nem ela. o Natal é mágico!!",Emilio,,,,,52,-1.37
Aliança pelo Brasil,,251820432138395,none,,,,262686,N/A,2021-01-10 14:23:14 BRT,2021-01-10,14:23:14,Photo,45,10,16,10,0,0,5,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/251820432138395/permalink/859199258067173,,,,,,,,,,45,-4.62
