Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
STOP NOM - CONTRA A NOVA ORDEM MUNDIAL,,514972122520672,none,,,,2251,N/A,2021-01-25 18:21:22 BRT,2021-01-25,18:21:22,Photo,7,1,0,6,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/514972122520672/permalink/692332338117982,181 Americanos Morreram De Vacinas Contra COVID-19 Em Apenas 2 Semanas. https://www.contrafatos.com.br/181-americanos-morreram-de-vacinas-contra-covid-19-em-apenas-2-semanas/,https://www.facebook.com/photo.php?fbid=117306173600332&set=gm.692332338117982&type=3,,,,,,,,7,-2.86
Grupo do SOLDADO DE AÇO Apoio ao Presidente Jair  Bolsonaro,,355074335229986,none,,,,230590,N/A,2021-02-06 21:20:02 BRT,2021-02-06,21:20:02,Link,4,0,0,2,0,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/355074335229986/permalink/1412153959522013,CAUTELA com IDOSOS,https://pst.cr/RxYWE,,,This is a re-share of a post,"181 americanos morreram em razão das vacinas contra covid em apenas duas semanas

https://pst.cr/RxYWE",,,,4,-29.75
Desporto Total,,540173533629892,none,,,,5887,N/A,2021-07-26 11:20:15 BRT,2021-07-26,11:20:15,Photo,3,1,1,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/540173533629892/permalink/613651322948779,,https://www.facebook.com/photo.php?fbid=969896803802884&set=p.969896803802884&type=3,,MUNDO 181 Americanos Morreram De Vacinas Contra COVID-19 Em Apenas 2 Semanas Houve um relato de morte de um feto morrendo logo após a mãe receber a vacina contra Covid-19 da Pfizer durante a gravidez. Por ContraFatos Publicado em 8 horas atrás f,João Junior,https://www.contrafatos.com.br/181-americanos-morreram-de-vacinas-contra-covid-19-em-apenas-2-semanas/,,,,3,-9
Aliança Pelo Brasil,,172987647356981,none,,,,25702,N/A,2021-01-31 15:50:02 BRT,2021-01-31,15:50:02,Link,3,1,0,1,0,0,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/172987647356981/permalink/330798394909238,https://www.contrafatos.com.br/181-americanos-morreram-de-vacinas-contra-covid-19-em-apenas-2-semanas/,https://www.contrafatos.com.br/181-americanos-morreram-de-vacinas-contra-covid-19-em-apenas-2-semanas/,,,181 americanos morreram de vacinas contra COVID-19 em apenas 2 semanas,Houve um relato de morte de um feto morrendo logo após a mãe receber a vacina contra Covid-19 da Pfizer durante a gravidez.,,,,3,-20.33
"PRAIA DO CANTO, onde tudo acontece.",,454631561334396,none,,,,11851,N/A,2021-01-26 00:15:24 BRT,2021-01-26,00:15:24,Link,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/454631561334396/permalink/2198776323586569,"VC NÃO É OBRIGADO A ACREDITAR, MAIS TBEM NÃO PERGUNTE A NINGUÉM, PESQUISEM E TIREM SUAS PRÓPRIAS CONCLUSÕES!! ",https://www.contrafatos.com.br/181-americanos-morreram-de-vacinas-contra-covid-19-em-apenas-2-semanas/,,,181 americanos morreram de vacinas contra COVID-19 em apenas 2 semanas,Houve um relato de morte de um feto morrendo logo após a mãe receber a vacina contra Covid-19 da Pfizer durante a gravidez.,,,,2,-0.88
SÃO SEBASTIÃO OFICIAL-DF(FLORINDO RIBEIRO),,226017664243145,none,,,,116390,N/A,2021-02-01 14:22:11 BRT,2021-02-01,14:22:11,Link,1,0,0,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/226017664243145/permalink/1798036200374609,"por angelica ca e paulo eneas De acordo com dados do Sistema de Notificação de Eventos Adversos de Vacinas (VAERS) dos Estados Unidos, divulgado no dia (13/01), pelo menos 181 americanos morreram em razão das vacinas contra covid em apenas duas semanas, conforme mostrado na imagem mais abaixo, publicado originalmente no website Great Game India.",https://criticanacional.com.br/2021/02/01/quase-duzentos-norte-americanos-morreram-devido-a-vacina-da-pfizer-contra-covid-em-duas-semanas/,,,Quase Duzentos Americanos Morreram Devido À Vacina da Pfizer Contra Covid Em Duas Semanas | Crítica Nacional,"por angelica ca e paulo eneas De acordo com dados do Sistema de Notificação de Eventos Adversos de Vacinas (VAERS) dos Estados Unidos, divulgado no dia",,,,1,-34
Utilidade Capixaba,,684139458308418,none,,,,52106,N/A,2021-01-26 00:06:15 BRT,2021-01-26,00:06:15,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/684139458308418/permalink/3689809904408010,É preciso falar alguma coisa. ACREDITEM SE QUISEREM!! Em caso de dúvida PESQUISEM..!! ,https://www.contrafatos.com.br/181-americanos-morreram-de-vacinas-contra-covid-19-em-apenas-2-semanas/,,,181 americanos morreram de vacinas contra COVID-19 em apenas 2 semanas,Houve um relato de morte de um feto morrendo logo após a mãe receber a vacina contra Covid-19 da Pfizer durante a gravidez.,,,,0,-34
