Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Weintraub para Governador [Oficial],,1195287314150373,none,,,,N/A,N/A,2021-01-02 15:40:36 BRT,2021-01-02,15:40:36,Photo,154,37,10,66,0,0,33,0,8,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1195287314150373/permalink/1358809754464794,,https://www.facebook.com/photo.php?fbid=2795094964141727&set=p.2795094964141727&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Claudio,"Como ninguém se arriscava a ser vacinado com a Sputnik Russa, vacinaram o ""voluntário"" duas vezes, só para as fotos. KKKKKK",,,,154,-1.38
ALIANÇA PELO BRASIL [apoio],,459921961553963,none,,,,180748,N/A,2021-01-02 23:46:14 BRT,2021-01-02,23:46:14,Photo,40,5,2,22,0,0,11,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/459921961553963/permalink/819649285581227,,https://www.facebook.com/photo.php?fbid=2915668411998842&set=p.2915668411998842&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Sirlene,,,,,40,-2.58
Presidente Bolsonaro OFC,,549749789187021,none,,,,28338,N/A,2021-01-03 06:10:47 BRT,2021-01-03,06:10:47,Photo,39,6,12,13,0,1,7,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/549749789187021/permalink/1052013725627289,,https://www.facebook.com/photo.php?fbid=1376153082719439&set=p.1376153082719439&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Narcizo Junior,"Na primeira imunizou o lado esquerdo e a segunda o lado direito, tudo normal segue o jogo!",,,,39,1.18
EDUARDO BOLSONARO [OFICIAL],,261034991653232,none,,,,43788,N/A,2020-12-31 21:18:38 BRT,2020-12-31,21:18:38,Photo,29,7,3,14,0,1,4,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/261034991653232/permalink/399162124507184,,https://www.facebook.com/photo.php?fbid=728249951424494&set=p.728249951424494&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Felipe,,,,,29,-2.21
Tribuna da cidade de Leme-SP FREE,,1210449599074093,none,,,,4488,N/A,2021-01-03 13:13:16 BRT,2021-01-03,13:13:16,Photo,28,2,19,6,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1210449599074093/permalink/3582077481911281,,https://www.facebook.com/photo.php?fbid=761489311377561&set=p.761489311377561&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",José Paulo,,,,,28,1.04
Jornalista Luís Ernesto Lacombe [Eu apoio],,310284690142071,none,,,,116041,N/A,2021-01-02 14:09:00 BRT,2021-01-02,14:09:00,Photo,26,6,0,8,0,0,12,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/310284690142071/permalink/455951635575375,,https://www.facebook.com/photo.php?fbid=3617556455007313&set=p.3617556455007313&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Diego,,,,,26,-2.96
Bolsonaro Contra o Comunismo,,236878430148009,none,,,,42108,N/A,2021-01-03 06:09:25 BRT,2021-01-03,06:09:25,Photo,23,4,1,11,0,1,5,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/236878430148009/permalink/1063559990813178,,https://www.facebook.com/photo.php?fbid=1376153082719439&set=p.1376153082719439&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Narcizo Junior,"Na primeira imunizou o lado esquerdo e a segunda o lado direito, tudo normal segue o jogo!",,,,23,-1.7
ALIANÇA PELO BRASIL(OFICIAL),,584212892325072,none,,,,91176,N/A,2021-01-03 06:09:44 BRT,2021-01-03,06:09:44,Photo,21,6,2,9,0,0,4,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/584212892325072/permalink/962677337811957,,https://www.facebook.com/photo.php?fbid=1376153082719439&set=p.1376153082719439&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Narcizo Junior,"Na primeira imunizou o lado esquerdo e a segunda o lado direito, tudo normal segue o jogo!",,,,21,-4.29
#ForaMaia #BolsonaroTemRazão,,243427623706690,none,,,,4714,N/A,2021-01-03 23:13:02 BRT,2021-01-03,23:13:02,Photo,19,5,4,4,0,0,5,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/243427623706690/permalink/452720572777393,,https://www.facebook.com/photo.php?fbid=10215598881400211&set=p.10215598881400211&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Vanias,🤣😂🤣😂🤣😂 é teatrinho ou não é???🤣😂🤣😂🤣😂,,,,19,-1.74
Meu Presidente  Bolsonaro,,1612324235744365,none,,,,3521,N/A,2021-01-03 06:14:22 BRT,2021-01-03,06:14:22,Photo,19,4,5,9,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1612324235744365/permalink/2742582759385168,,https://www.facebook.com/photo.php?fbid=1376153082719439&set=p.1376153082719439&type=3,,"Argentina de novo marcando tendência mundial. Vacinando duas vezes o mesmo cara. Chupa essa, Mundo Classifique essa tradução",Narcizo Junior,"Na primeira imunizou o lado esquerdo e a segunda o lado direito, tudo normal segue o jogo!",,,,19,1
