Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Aliança pelo Brasil,,576492443264427,none,,,,93905,N/A,2020-09-07 20:52:44 BRT,2020-09-07,20:52:44,Photo,"1,411",592,114,555,2,22,45,4,75,2,,-,0,0,0,N/A,https://www.facebook.com/groups/576492443264427/permalink/643972813183056,,https://www.facebook.com/PoliticamenteIrados/photos/a.1101755470013648/1473295286192996/?type=3,,China compra vacina da Suécia para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí. Só eu que vejo isso?! RenanLima,Politicamente Irados,Ninguém pode obrigar ninguém a tomar nenhuma vacina !,,,,"1,411",-2.12
Gabinete Bolsonarista (OFICIAL),,1168437990177067,none,,,,N/A,N/A,2020-08-13 09:37:23 BRT,2020-08-13,09:37:23,Link,643,194,106,246,0,13,39,4,41,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1168437990177067/permalink/1218894111798121,,https://www.facebook.com/100000465936231/posts/4870270002998483/,,,This is a re-share of a post,China compra vacina da Suécia  para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí!,,,,643,13.98
Bolsonaro no Comando 2022,,261809368543621,none,,,,29685,N/A,2020-09-03 19:40:47 BRT,2020-09-03,19:40:47,Photo,510,185,95,181,0,4,22,0,23,0,,-,0,0,0,N/A,https://www.facebook.com/groups/261809368543621/permalink/366800321377858,,https://www.facebook.com/PoliticamenteIrados/photos/a.1101755470013648/1473295286192996/?type=3,,China compra vacina da Suécia para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí. Só eu que vejo isso?! RenanLima,Politicamente Irados,Ninguém pode obrigar ninguém a tomar nenhuma vacina !,,,,510,9.11
JAIR MESSIAS BOLSONARO,,1660323857593756,none,,,,122637,N/A,2020-09-02 22:50:22 BRT,2020-09-02,22:50:22,Photo,469,157,87,169,1,21,18,2,14,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1660323857593756/permalink/2565030390456427,,https://www.facebook.com/PoliticamenteIrados/photos/a.1101755470013648/1473295286192996/?type=3,,China compra vacina da Suécia para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí. Só eu que vejo isso?! RenanLima,Politicamente Irados,Ninguém pode obrigar ninguém a tomar nenhuma vacina !,,,,469,5.94
Presidente Bolsonaro 2022 🇧🇷,,495035617545564,none,,,,52562,N/A,2020-08-13 23:00:09 BRT,2020-08-13,23:00:09,Link,468,164,52,182,0,23,27,5,15,0,,-,0,0,0,N/A,https://www.facebook.com/groups/495035617545564/permalink/1204391623276623,,https://www.facebook.com/100000465936231/posts/4870270002998483/,,,This is a re-share of a post,China compra vacina da Suécia  para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí!,,,,468,7.55
Aliança pelo Brasil 38,,565098544264960,none,,,,200408,N/A,2020-08-12 10:45:02 BRT,2020-08-12,10:45:02,Link,465,137,72,174,0,14,34,2,32,0,,-,0,0,0,N/A,https://www.facebook.com/groups/565098544264960/permalink/860644104710401,,https://www.facebook.com/100000465936231/posts/4870270002998483/,,,This is a re-share of a post,China compra vacina da Suécia  para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí!,,,,465,7.27
PIRACICABA COM BOLSONARO 2022,,244367756095117,none,,,,28403,N/A,2020-09-03 19:40:39 BRT,2020-09-03,19:40:39,Photo,444,142,67,181,0,6,15,2,31,0,,-,0,0,0,N/A,https://www.facebook.com/groups/244367756095117/permalink/866164540582099,,https://www.facebook.com/PoliticamenteIrados/photos/a.1101755470013648/1473295286192996/?type=3,,China compra vacina da Suécia para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí. Só eu que vejo isso?! RenanLima,Politicamente Irados,Ninguém pode obrigar ninguém a tomar nenhuma vacina !,,,,444,17.08
GRUPO OLAVO DE CARVALHO,,825954890834995,none,,,,127590,N/A,2020-09-03 15:06:53 BRT,2020-09-03,15:06:53,Photo,433,167,27,191,1,18,3,2,24,0,,-,0,0,0,N/A,https://www.facebook.com/groups/825954890834995/permalink/3369422503154875,,https://www.facebook.com/PoliticamenteIrados/photos/a.1101755470013648/1473295286192996/?type=3,,China compra vacina da Suécia para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí. Só eu que vejo isso?! RenanLima,Politicamente Irados,Ninguém pode obrigar ninguém a tomar nenhuma vacina !,,,,433,10.07
FÃS e AMIGOS do Gustavo Victorino,,476546179805042,none,,,,13784,N/A,2020-08-12 19:25:08 BRT,2020-08-12,19:25:08,Link,417,172,55,107,0,29,16,3,35,0,,-,0,0,0,N/A,https://www.facebook.com/groups/476546179805042/permalink/727624291363895,,https://www.facebook.com/100000465936231/posts/4870270002998483/,,,This is a re-share of a post,China compra vacina da Suécia  para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí!,,,,417,8.18
Bolsonaro Presidente (Oficial),,270048890291921,none,,,,106535,N/A,2020-08-13 22:25:43 BRT,2020-08-13,22:25:43,Link,366,139,33,136,0,25,21,0,11,1,,-,0,0,0,N/A,https://www.facebook.com/groups/270048890291921/permalink/645738976056242,,https://www.facebook.com/100000465936231/posts/4870270002998483/,,,This is a re-share of a post,China compra vacina da Suécia  para vacinar os chineses e vacina produzida na China vende pra São Paulo? Tem algo errado aí!,,,,366,1.85
