Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
APOIO OS DIREITOS DOS POVOS ORIGINÁRIOS DO BRASIL,,326362177442578,none,,,,35684,N/A,2021-02-02 14:44:20 BRT,2021-02-02,14:44:20,Link,510,146,58,86,2,5,0,194,8,11,,-,0,0,0,N/A,https://www.facebook.com/groups/326362177442578/permalink/4006116369467122,"""Tão logo a notícia da morte de Fernando Katukina passou a circular, negacionistas tentaram ligar o fato a possíveis efeitos adversos da vacina. Foram, inclusive, ancorados pela imprensa local, que publicou manchetes como “Morre o primeiro indígena a tomar a CoronaVac no Acre” sem a devida contextualização. Fake news relacionadas à morte da liderança, criminosas, chegam em um momento em que muitos indígenas do Acre e de outras localidades se recusam participar da imunização.""",https://amazoniareal.com.br/fernando-katukina-lideranca/,,,"Morre Fernando Katukina, liderança indígena no Acre - Amazônia Real",Fernando Katukina morreu neste 1º de fevereiro de parada cardíaca e semanas depois dele ter sido o primeiro a se vacinar contra a Covid-19.,,,,510,12.44
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644844,N/A,2021-02-01 13:08:08 BRT,2021-02-01,13:08:08,Link,262,57,57,99,0,24,1,20,2,2,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1258827958160063,,https://ac24horas.com/2021/02/01/morre-o-primeiro-indigena-a-tomar-a-coronavac-no-acre/,,,Morre o primeiro indígena a tomar a CoronaVac no Acre | ac24horas.com - Notícias do Acre,"O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso,…",,,,262,1.88
Rede de Cultura Digital Indígena,,331296763577008,none,,,,18355,N/A,2021-02-02 12:43:04 BRT,2021-02-02,12:43:04,Link,95,28,2,27,0,1,0,34,1,2,,-,0,0,0,N/A,https://www.facebook.com/groups/331296763577008/permalink/5244148938958408,"""Tão logo a notícia da morte de Fernando Katukina passou a circular, negacionistas tentaram ligar o fato a possíveis efeitos adversos da vacina. Foram, inclusive, ancorados pela imprensa local, que publicou manchetes como “Morre o primeiro indígena a tomar a CoronaVac no Acre” sem a devida contextualização. Fake news relacionadas à morte da liderança, criminosas, chegam em um momento em que muitos indígenas do Acre e de outras localidades se recusam participar da imunização.""",https://amazoniareal.com.br/fernando-katukina-lideranca/,,,"Morre Fernando Katukina, liderança indígena no Acre - Amazônia Real",Fernando Katukina morreu neste 1º de fevereiro de parada cardíaca e semanas depois dele ter sido o primeiro a se vacinar contra a Covid-19.,,,,95,-1.01
Aliança pelo Brasil 38,,565098544264960,none,,,,208365,N/A,2021-02-01 13:08:12 BRT,2021-02-01,13:08:12,Link,81,12,15,31,0,12,0,10,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/565098544264960/permalink/997554171019393,,https://ac24horas.com/2021/02/01/morre-o-primeiro-indigena-a-tomar-a-coronavac-no-acre/,,,Morre o primeiro indígena a tomar a CoronaVac no Acre | ac24horas.com - Notícias do Acre,"O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso,…",,,,81,1.27
Apoio  a Família  BOLSONARO,,542459893332274,none,,,,77236,N/A,2021-02-01 23:09:03 BRT,2021-02-01,23:09:03,Link,54,11,15,20,0,3,0,5,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/542459893332274/permalink/743985123179749,Morre o primeiro indígena a tomar a CoronaVac no Acre ,https://pst.cr/zcKLV,,,Morre o primeiro indígena a tomar a CoronaVac no Acre - Imprensa Brasil,"Compartilhar: Twitter Facebook WhatsApp Telegram O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso, foi o primeiro indígena do Vale do Juruá a ser vacina...",,,,54,-2.15
Bolsonaro 2022,,347555432645817,none,,,,172131,N/A,2021-02-01 13:08:17 BRT,2021-02-01,13:08:17,Link,46,12,7,19,0,4,0,3,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/347555432645817/permalink/970095587058462,,https://ac24horas.com/2021/02/01/morre-o-primeiro-indigena-a-tomar-a-coronavac-no-acre/,,,Morre o primeiro indígena a tomar a CoronaVac no Acre | ac24horas.com - Notícias do Acre,"O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso,…",,,,46,-1.83
RONDÔNIA APOIA BOLSONARO,,374306859698983,none,,,,N/A,N/A,2021-02-01 14:28:28 BRT,2021-02-01,14:28:28,Link,39,4,20,15,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/374306859698983/permalink/1079310719198590,,https://ac24horas.com/2021/02/01/morre-o-primeiro-indigena-a-tomar-a-coronavac-no-acre/,,,Morre o primeiro indígena a tomar a CoronaVac no Acre | ac24horas.com - Notícias do Acre,"O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso,…",,,,39,2.05
VERDADE E JUSTIÇA,,4995256483819650,none,,,,N/A,N/A,2021-02-01 13:08:22 BRT,2021-02-01,13:08:22,Link,36,8,5,12,0,2,3,6,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/4995256483819650/permalink/5343003819044913,,https://ac24horas.com/2021/02/01/morre-o-primeiro-indigena-a-tomar-a-coronavac-no-acre/,,,Morre o primeiro indígena a tomar a CoronaVac no Acre | ac24horas.com - Notícias do Acre,"O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso,…",,,,36,-1.53
Aliança pelo Brasil,,251820432138395,none,,,,263036,N/A,2021-02-01 13:26:37 BRT,2021-02-01,13:26:37,Link,36,10,2,17,0,5,0,2,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/251820432138395/permalink/871675510152881,"Morre o primeiro indígena a tomar a CoronaVac no AcrePublicado 2 horas atrás em 01/02/2021 Por Sandra Assunção SHARE TWEET O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso, foi o primeiro indígena do Vale do Juruá a ser vacinado contra o novo coronavírus, no dia 19 de janeiro. O velório é feito na Terra Campinas, onde também haverá o sepultamento de Fernando Katukina. Por causa do quadro de diabetes e hipertensão, Fernando Katukina, em ocasião anterior, já havia ficado em coma no Hospital do Juruá.",https://ac24horas.com/2021/02/01/morre-o-primeiro-indigena-a-tomar-a-coronavac-no-acre/,,,Morre o primeiro indígena a tomar a CoronaVac no Acre | ac24horas.com - Notícias do Acre,"O cacique Fernando Rosas, de 56 anos, liderança da etnia Katukina, que vive na BR-364 em Cruzeiro do Sul, morreu na madrugada desta segunda- feira, dia 1°. Ele, que era diabético e hipertenso,…",,,,36,-2.86
SUSITELKIMAS,,1868418069955853,none,,,,6383,N/A,2021-02-02 04:43:05 BRT,2021-02-02,04:43:05,Link,34,6,4,13,0,2,0,9,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1868418069955853/permalink/2147259642071693,"Brazilija. 56 metų Fernando Rosas buvo pirmasis Cruzeiro do Sul mieste sausio 19 d. paskiepytas indėnas , katukinų genties vadas . Vasario 1 dieną jis mirė...",https://www.reportermt.com.br/nacional/morre-o-primeiro-indigena-a-tomar-a-coronavac-no-acre/130402,,,Morre o primeiro indígena a tomar a CoronaVac no Acre | ReporterMT,A morte do líder do indígena não tem ligação com o fato de ele ter tomado a primeira dose.,,,,34,1.48
