Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
"Eu votei no Haddad, me pergunte por quê",,1321137101260597,none,,,,17709,N/A,2021-01-22 02:52:28 BRT,2021-01-22,02:52:28,Photo,25,3,2,9,0,3,1,0,7,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1321137101260597/permalink/5160702637304005,,https://www.facebook.com/photo.php?fbid=235627988021778&set=a.222554555995788&type=3,,"Jornalista Mauro Cerullo Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19. Vereador é conhecido por militar contra vacina da Sinovac. #CarluxoFuraFila",MDO - Mídia Democrática Online,"Em fim, a hipocrisia.",,,,25,-2.68
LULA LIVRE JÁ!!!,,292233795000296,none,,,,19924,N/A,2021-01-22 02:52:58 BRT,2021-01-22,02:52:58,Photo,15,5,3,5,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/292233795000296/permalink/726663118224026,,https://www.facebook.com/photo.php?fbid=235627988021778&set=a.222554555995788&type=3,,"Jornalista Mauro Cerullo Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19. Vereador é conhecido por militar contra vacina da Sinovac. #CarluxoFuraFila",MDO - Mídia Democrática Online,"Em fim, a hipocrisia.",,,,15,-7.93
"Eleitores do ""PT"" por #LULALIVRE e um BRASIL Justo Igualitário e Soberano",,840945326294341,none,,,,10203,N/A,2021-01-22 02:52:41 BRT,2021-01-22,02:52:41,Photo,12,2,2,5,0,0,0,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/840945326294341/permalink/1561366444252222,,https://www.facebook.com/photo.php?fbid=235627988021778&set=a.222554555995788&type=3,,"Jornalista Mauro Cerullo Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19. Vereador é conhecido por militar contra vacina da Sinovac. #CarluxoFuraFila",MDO - Mídia Democrática Online,"Em fim, a hipocrisia.",,,,12,-5.42
AMIGOS DE LULA,,380071609517132,none,,,,54736,N/A,2021-01-22 02:52:52 BRT,2021-01-22,02:52:52,Photo,11,6,2,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/380071609517132/permalink/861991007991854,,https://www.facebook.com/photo.php?fbid=235627988021778&set=a.222554555995788&type=3,,"Jornalista Mauro Cerullo Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19. Vereador é conhecido por militar contra vacina da Sinovac. #CarluxoFuraFila",MDO - Mídia Democrática Online,"Em fim, a hipocrisia.",,,,11,-6
Fala Taquara e Região,,550894521727253,none,,,,10125,N/A,2021-01-22 07:57:08 BRT,2021-01-22,07:57:08,Photo,9,0,7,0,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/550894521727253/permalink/1904762703007088,"Eles pregam uma coisa pra gado e fazem outra kķkkk esse gado é burro,peloamordedeus!!!",https://www.facebook.com/photo.php?fbid=2955989588018383&set=p.2955989588018383&type=3,,"Jornalista Mauro Cerullo Vacina para mim, nada para os outros... 5min Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou- se contra a COVID-19 Vereador é conhecido por militar contra vacina da Sinovac. #CarluxoFuraFila",Fernando,,,,,9,-0.44
"Eu votei no Haddad, me pergunte por quê",,1321137101260597,none,,,,17709,N/A,2021-01-22 02:52:17 BRT,2021-01-22,02:52:17,Photo,8,2,1,2,0,1,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1321137101260597/permalink/5160702143970721,,https://www.facebook.com/photo.php?fbid=235627988021778&set=a.222554555995788&type=3,,"Jornalista Mauro Cerullo Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19. Vereador é conhecido por militar contra vacina da Sinovac. #CarluxoFuraFila",MDO - Mídia Democrática Online,"Em fim, a hipocrisia.",,,,8,-8.38
Política  Dos Campos Gerais,,190636901036925,none,,,,1774,N/A,2021-01-22 23:48:10 BRT,2021-01-22,23:48:10,Photo,5,1,4,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/190636901036925/permalink/3233671730066745,,https://www.facebook.com/photo.php?fbid=118426536818390&set=p.118426536818390&type=3,,"CRETINO! Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19 Vereador é conhecido por militar contra vacina da Sinovac. #CarluxoFuraFila",Quatizão,O importante é o Gado(trouxa) continuar  fazendo  papel de OTÁRIO....A milicia vai se imunizar para continuar no ilícito.....👉👌,,,,5,-5.4
Somos 70 Por Cento,,2596475380568472,none,,,,230763,N/A,2021-01-22 17:57:24 BRT,2021-01-22,17:57:24,Photo,2,1,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2596475380568472/permalink/2825383631010978,,https://www.facebook.com/100735638256804/photos/a.100813814915653/228189158844784/?type=3,,"Jornalista Mauro Cerullo @mauro cerullo Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19 Vereador é conhecido por militar contra vacina da Sinovac.",Jandira da Depressão 2,#fiqueemcasa #siga #Jandiradadepressao2,,,,2,-23.5
SubOff The Memes,,428026460541948,none,,,,102285,N/A,2021-01-24 08:13:41 BRT,2021-01-24,08:13:41,Photo,1,0,0,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/428026460541948/permalink/4026902350654323,,https://www.facebook.com/photo.php?fbid=3648085408621025&set=p.3648085408621025&type=3,,"Jornalista Mauro Cerullo Vacina para mim, nada para os outros.. 5min Segundo informações apuradas pela Rádio Litoral FM Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou se contra a COVID-19 Vereador é conhecido por militar contra vacina da Sinovac #CarluxoFuraFila",Joao,,,,,1,-135
Brasil Unido - Todos Contra Bolsonaro,,792501111511556,none,,,,14944,N/A,2021-01-22 17:57:50 BRT,2021-01-22,17:57:50,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/792501111511556/permalink/908573363237663,,https://www.facebook.com/100735638256804/photos/a.100813814915653/228189158844784/?type=3,,"Jornalista Mauro Cerullo @mauro cerullo Vacina para mim, nada para os outros... Segundo informações apuradas pela Rádio Litoral FM, Carlos Bolsonaro esteve hoje no Hospital Central do Exército no Rio de Janeiro e vacinou-se contra a COVID-19 Vereador é conhecido por militar contra vacina da Sinovac.",Jandira da Depressão 2,#fiqueemcasa #siga #Jandiradadepressao2,,,,0,-206
