Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
TELEFUTURO PARAGUAY NOTICIAS (OFICIAL)✔,,883445655342275,none,,,,105663,N/A,2021-01-31 21:44:56 BRT,2021-01-31,21:44:56,Native Video,27,2,4,14,0,7,0,0,0,0,share,-,0,1554274,0,00:02:46,https://www.facebook.com/groups/883445655342275/permalink/1355236718163164,Nunca se vacunen,,,,,,,,,27,-1.11
Mercado Livre Brasil,,218748825393980,none,,,,88182,N/A,2021-02-01 12:27:38 BRT,2021-02-01,12:27:38,Native Video,24,9,5,9,0,0,1,0,0,0,share,No,0,1554430,0,00:02:46,https://www.facebook.com/groups/218748825393980/permalink/810271966241660,,https://www.facebook.com/amarilisamaral.sanches/videos/2861843890797760/,,,Amarilis Amaral,Mulher morre imediatamente depois da vacina 😭😭😭,,,,24,1
Cidade Araújos,,346381438764694,none,,,,8865,N/A,2021-02-02 09:11:14 BRT,2021-02-02,09:11:14,Native Video,24,7,10,6,0,1,0,0,0,0,share,No,0,1554665,0,00:02:46,https://www.facebook.com/groups/346381438764694/permalink/3712440292158775,,https://www.facebook.com/amarilisamaral.sanches/videos/2861843890797760/,,,Amarilis Amaral,Mulher morre imediatamente depois da vacina 😭😭😭,,,,24,-1.42
ÑANE MBA'E TEETE,,1948527562067771,none,,,,59797,N/A,2021-01-31 11:11:16 BRT,2021-01-31,11:11:16,Native Video,24,5,1,8,0,8,0,2,0,0,share,No,0,1554429,0,00:02:46,https://www.facebook.com/groups/1948527562067771/permalink/2751687085085144,,https://www.facebook.com/amarilisamaral.sanches/videos/2861843890797760/,,,Amarilis Amaral,Mulher morre imediatamente depois da vacina 😭😭😭,,,,24,-1.46
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644860,N/A,2021-02-03 19:59:27 BRT,2021-02-03,19:59:27,Native Video,24,5,10,6,0,3,0,0,0,0,share,No,0,1551538,0,00:02:46,https://www.facebook.com/groups/147276449315225/permalink/1260569581319234,,https://www.facebook.com/amarilisamaral.sanches/videos/2861843890797760/,,,Amarilis Amaral,Mulher morre imediatamente depois da vacina 😭😭😭,,,,24,-16.21
Noticia de hoje Brasil,,2082541272033486,none,,,,86466,N/A,2021-02-03 15:03:13 BRT,2021-02-03,15:03:13,Native Video,23,5,3,12,0,0,0,3,0,0,share,-,0,1554718,0,00:02:46,https://www.facebook.com/groups/2082541272033486/permalink/2826254434328829,,,,,,,,,,23,1.15
"Paraguay 🇵🇾 Noticias ,Fútbol  y Más",,720824301339617,none,,,,100700,N/A,2021-02-03 15:16:02 BRT,2021-02-03,15:16:02,Native Video,23,1,1,11,0,7,0,3,0,0,share,-,0,1554675,0,00:02:46,https://www.facebook.com/groups/720824301339617/permalink/3617835684971783,,,,,,,,,,23,-1.87
JAIR MESSIAS BOLSONARO,,1660323857593756,none,,,,123454,N/A,2021-01-31 23:37:13 BRT,2021-01-31,23:37:13,Native Video,23,3,7,10,0,0,0,3,0,0,share,-,0,1554431,0,00:02:46,https://www.facebook.com/groups/1660323857593756/permalink/2686990954927036,,,,,,,,,,23,-2.22
Estamos con Santi 2023 🇵🇾,,391428461288892,none,,,,N/A,N/A,2021-01-31 11:23:58 BRT,2021-01-31,11:23:58,Native Video,21,2,3,9,0,2,0,4,1,0,share,-,0,1556180,0,00:02:46,https://www.facebook.com/groups/391428461288892/permalink/1130503847381346,,,,,,,,,,21,-1.43
Benedito Bentes,,941044965950119,none,,,,N/A,N/A,2021-01-31 07:19:53 BRT,2021-01-31,07:19:53,Native Video,20,7,1,8,1,1,1,0,1,0,share,-,0,0,0,00:02:46,https://www.facebook.com/groups/941044965950119/permalink/3766440026743918,,,,,,,,,,20,1.05
