Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Notícias de Cabo Verde ao Minuto!!,,434008576663533,none,,,,114030,N/A,2020-12-20 17:45:09 BRT,2020-12-20,17:45:09,Photo,134,12,49,20,0,17,1,34,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/434008576663533/permalink/3796483237082700,"Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito dez 19 /12/2020 Descanse em paz",https://www.facebook.com/photo.php?fbid=397370171332470&set=gm.3796483237082700&type=3,,,,,,,,134,1.72
Gustavo Lima Andressa Gabriel Samuel 🎹🎸🎤🎵,,376235396439798,none,,,,59082,N/A,2020-12-20 20:07:29 BRT,2020-12-20,20:07:29,Photo,81,19,14,32,0,6,0,9,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/376235396439798/permalink/795570947839572,,https://www.facebook.com/photo.php?fbid=3753809444670940&set=p.3753809444670940&type=3,,"Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito Guilherme Ângelo 4 horas atrás emc Eles estão silenciando a todos, mas a verdade é filha do tempo e como o sol.",Edil Aparecida Guerra,,,,,81,-1.65
Bolsonaro Opressor 2022,,1383055908398596,none,,,,49458,N/A,2020-12-20 19:37:21 BRT,2020-12-20,19:37:21,Photo,67,15,13,31,0,1,2,4,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1383055908398596/permalink/3624080844296080,ISSO É O RESULTADO DESSA MALDITA VACINA SEM COMPROVAÇÃO EFICAZ P COVID 19 E AQUI NO BRASIL VAMOS TESTAR ESSA VACINA NESSES TOGADOS DO STF SE FOR COMPROVADA SE DER ERADO LIVRAMOS D 2 PROBLEMAS...,https://www.facebook.com/photo.php?fbid=3525761017649066&set=p.3525761017649066&type=3,,"Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito emc SAe E",Alberto,ISSO É O RESULTADO DESSA MALDITA VACINA SEM COMPROVAÇÃO EFICAZ P COVID 19 E AQUI NO BRASIL VAMOS TESTAR ESSA VACINA NESSES TOGADOS DO STF SE FOR COMPROVADA SE DER ERADO LIVRAMOS D 2 PROBLEMAS...,,,,67,1.76
GRUPO DE APOIO AO  GOVERNO DO BOLSONARO PRESIDENTE DO BRASIL,,382009155339255,none,,,,111772,N/A,2020-12-20 15:52:41 BRT,2020-12-20,15:52:41,Photo,66,11,26,21,0,1,0,6,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/382009155339255/permalink/1660265077513650,,https://www.facebook.com/photo.php?fbid=1327247517618796&set=p.1327247517618796&type=3,,"H+ 34% 07:56 facebook Liamara Martins Mulheres Unidas Com Bolsonaro #38 (OFICIAL) 7h.6 i emc ASOCIEDADEPOLITICAWORDPRESS.COM Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito 19 5 comentários 20 compartilhamentos Grr Comentar Compartilhar 99 99Food food Patrocinado",Nielsen,"FOI SE VACINAR PARA NÃO FICAR DOENTE,MAS ENCONTROU A MORTE NA PRÓPRIA VACINA.  --QUAL VAI SER A DESCULPA DESSA VEZ??? 🤔",,,,66,1.65
Grupo auxílio emérgencial 500 reais,,1750391295204548,none,,,,2841,N/A,2020-12-20 11:33:02 BRT,2020-12-20,11:33:02,Photo,46,12,13,16,0,5,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1750391295204548/permalink/2850686861841647,,https://www.facebook.com/penha1697/photos/a.769304573438947/1274444156258317/?type=3,,"nos-eua-veio-a-obito/ 2 emc NESANE neiena aakke ASOCIEDADEPOLITICAWORDPRESS.COM Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito Eles estão silenciando a todos, mas a verdade é filha do tem...",Pedrin noticias musicas vidios.e politica.,,,,,46,2.42
Sérgio Moro TRAIDOR,,1567956043516069,none,,,,21580,N/A,2020-12-21 07:24:43 BRT,2020-12-21,07:24:43,Photo,26,2,2,20,0,1,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1567956043516069/permalink/2675263059452023,,,,,,,,,,26,-1.27
Presidente Bolsonaro OFC,,549749789187021,none,,,,28348,N/A,2020-12-20 19:37:51 BRT,2020-12-20,19:37:51,Photo,25,5,7,10,0,0,1,1,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/549749789187021/permalink/1043040069857988,ISSO É O RESULTADO DESSA MALDITA VACINA SEM COMPROVAÇÃO EFICAZ P COVID 19 E AQUI NO BRASIL VAMOS TESTAR ESSA VACINA NESSES TOGADOS DO STF SE FOR COMPROVADA SE DER ERADO LIVRAMOS D 2 PROBLEMAS...,https://www.facebook.com/photo.php?fbid=3525761017649066&set=p.3525761017649066&type=3,,"Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito emc SAe E",Alberto,ISSO É O RESULTADO DESSA MALDITA VACINA SEM COMPROVAÇÃO EFICAZ P COVID 19 E AQUI NO BRASIL VAMOS TESTAR ESSA VACINA NESSES TOGADOS DO STF SE FOR COMPROVADA SE DER ERADO LIVRAMOS D 2 PROBLEMAS...,,,,25,-1.32
Eu apoio a um País sem corrupção,,1539465589688649,none,,,,38664,N/A,2020-12-20 15:52:34 BRT,2020-12-20,15:52:34,Photo,21,6,6,7,0,1,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1539465589688649/permalink/2550497458585452,,https://www.facebook.com/photo.php?fbid=1327247517618796&set=p.1327247517618796&type=3,,"H+ 34% 07:56 facebook Liamara Martins Mulheres Unidas Com Bolsonaro #38 (OFICIAL) 7h.6 i emc ASOCIEDADEPOLITICAWORDPRESS.COM Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito 19 5 comentários 20 compartilhamentos Grr Comentar Compartilhar 99 99Food food Patrocinado",Nielsen,"FOI SE VACINAR PARA NÃO FICAR DOENTE,MAS ENCONTROU A MORTE NA PRÓPRIA VACINA.  --QUAL VAI SER A DESCULPA DESSA VEZ??? 🤔",,,,21,-1.52
Aliança pelo Brasil- Rio de Janeiro,,3103285453031594,none,,,,8643,N/A,2020-12-20 20:37:16 BRT,2020-12-20,20:37:16,Link,20,0,13,4,0,0,0,3,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/3103285453031594/permalink/4211115952248533,,https://presidentebolsonaro.com/morreu-tiffany-dover-enfermeira-que-passou-mal-ao-tomar-a-vacina-ao-vivo-nos-eua-veio-a-obito/,,,"MORREU! Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito - Presidente Bolsonaro","Eles estão silenciando a todos, mas a verdade é filha do tempo e como o sol. A enfermeira que tomou a vacina ao vivo nos EUA e 17 minutos depois desmaiou (19/12), hoje veio a óbito. Abaixo você pode ver a imagem do registro de óbito de Tiffany: Nas redes sociais da enfermeira todos perguntam [....",,,,20,-1.05
Somos Todos Aliança,,3049126371874067,none,,,,838,N/A,2020-12-21 21:44:05 BRT,2020-12-21,21:44:05,Photo,18,7,4,6,0,0,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/3049126371874067/permalink/3632357216884310,,https://www.facebook.com/photo.php?fbid=455832849142510&set=p.455832849142510&type=3,,"emo 7 URSE MANADER MORREU! Tiffany Dover, enfermeira que passou mal ao tomar a vacina ao vivo nos EUA veio a óbito",Fabrício,,,,,18,-2.17
