Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Fc Pastor Silas Malafaia,,539829499692821,none,,,,20022,N/A,2021-02-17 16:11:40 BRT,2021-02-17,16:11:40,Photo,19,10,3,6,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/539829499692821/permalink/1412910782384684,,https://www.facebook.com/photo.php?fbid=1332391680442994&set=p.1332391680442994&type=3,,grande mídia não vai mostrar. Pastor Venceslau Presidente da Igreja Assembléia de Deus- Madureira em Araguaína ΤΟ. Tomou a VaCHINA e na madrugada do dia seguinte passou mal e veio a óbito pela manhã 19/09/1958 十20/01/2021,Marcelo,,,,,19,1
"Ouvintes Radio Melodia 97,5 RJ",,1635133683205008,none,,,,25884,N/A,2021-01-29 14:47:30 BRT,2021-01-29,14:47:30,Photo,7,1,1,2,0,2,0,1,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1635133683205008/permalink/3940776295974057,"Ms, os cientistas de plantão, vão dizer que foi só azar da vacina, em ter sido aplicada em quem já ia morrer mesmo...",https://www.facebook.com/PastorMartinho/photos/a.467674330032461/2238842002915676/?type=3,,"Laercio Inacio Da Rosa 10h. Já está acontecendo, fiquem atentos pois a grande mídia não vai mostrar. Pastor Venceslau Presidente da Igreja Assembléia de Deus Madureira em Araguaína ΤΟ. Tomou a VaCHINA na madrugada do dia seguinte passou mal e veio a óbito pela manhã. 19/09/1958 + 20/01/2021 Descanse em paz",,,,,,7,-10.43
Rodrigo Constantino,,814358782629829,none,,,,N/A,N/A,2021-01-27 07:50:06 BRT,2021-01-27,07:50:06,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/814358782629829/permalink/845669762832064,,https://www.facebook.com/photo.php?fbid=3959909480695681&set=p.3959909480695681&type=3,,"185000 Samira Zeidan 2 h Abinel Vieira PASTOR VENCESLAU, APOS TOMAR VACINA MORRE DE MADRUGADA EM anapolis GO 19/09/1958 十 20/01/2021 Descanse De em paz",Vambor,,,,,0,-126
LUISLÂNDIA CIDADE LUISLÂNDIA,,521459731253075,none,,,,5418,N/A,2021-02-07 00:40:13 BRT,2021-02-07,00:40:13,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/521459731253075/permalink/3739341932798156,EITA!,https://www.facebook.com/photo.php?fbid=181682096683405&set=p.181682096683405&type=3,,grande mídia não vai mostrar. Pastor Venceslau Presidente da Igreja Assembléia de Deus- Madureira em Araguaína ΤΟ. Tomou a VaCHINA e na madrugada do dia seguinte passou mal e veio a óbito pela manhã. 19/09/1958 十 20/01/2021,Mendonça,"Divulgando....

#VacinaNãoTomoNemPagandoBem",,,,0,-32
