Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644544,N/A,2021-01-18 20:35:11 BRT,2021-01-18,20:35:11,Photo,866,177,205,209,0,11,180,0,84,0,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1247851912591001,,https://www.facebook.com/photo.php?fbid=4023759424308900&set=p.4023759424308900&type=3,,,Maria Fernandez,Angélica esposa do Luciano Huck sendo entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta🤣🤣🤣🤣🤣🤣👆😡😡😡😉🤮🤮resumindo.pimenta no rabo do outro é  refresco.,,,,866,3.03
Aliança Pelo Brasil,,172987647356981,none,,,,25352,N/A,2021-01-19 17:15:06 BRT,2021-01-19,17:15:06,Photo,362,46,133,81,1,3,70,0,28,0,,-,0,0,0,N/A,https://www.facebook.com/groups/172987647356981/permalink/324889302166814,,https://www.facebook.com/photo.php?fbid=3905716179448536&set=p.3905716179448536&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Vânia,Óleo de peroba!!!,,,,362,4.21
🇧🇷 FORTES NA DIREITA 🇧🇷,,206464887312827,none,,,,56081,N/A,2021-01-22 08:36:11 BRT,2021-01-22,08:36:11,Photo,255,22,104,46,0,0,64,1,18,0,,-,0,0,0,N/A,https://www.facebook.com/groups/206464887312827/permalink/418900906069223,,https://www.facebook.com/photo.php?fbid=1133519107109389&set=p.1133519107109389&type=3,,,Paulo,Angélica esposa do Luciano Huck sendo entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro tomar a vacina da China. O repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,,,,255,3.7
Rodrigo Constantino,,814358782629829,none,,,,N/A,N/A,2021-01-24 19:15:52 BRT,2021-01-24,19:15:52,Photo,166,29,38,42,0,1,42,1,13,0,,-,0,0,0,N/A,https://www.facebook.com/groups/814358782629829/permalink/844169192982121,,https://www.facebook.com/photo.php?fbid=3751088344934705&set=p.3751088344934705&type=3,,Angélica esposa do Luciano Huck sendo entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Alessandro,"#AloFraternos  Para Reflexão Pequeno Gafanhoto ,Usar vibrador aumenta a Imunidade",,,,166,2.63
FORÇA E HONRA - 38 Jair Bolsonaro - Aliança Pelo Brasil,,1438250046381929,none,,,,26072,N/A,2021-01-21 23:53:24 BRT,2021-01-21,23:53:24,Photo,138,16,60,33,0,1,20,0,8,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1438250046381929/permalink/1663399717200293,,https://www.facebook.com/photo.php?fbid=1133519107109389&set=p.1133519107109389&type=3,,,Paulo,Angélica esposa do Luciano Huck sendo entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro tomar a vacina da China. O repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,,,,138,2.94
FORA DITADORIA,,942817016150965,none,,,,8758,N/A,2021-01-22 14:29:58 BRT,2021-01-22,14:29:58,Photo,116,13,44,14,0,1,39,0,5,0,,-,0,0,0,N/A,https://www.facebook.com/groups/942817016150965/permalink/1161135784319086,,https://www.facebook.com/photo.php?fbid=3699191066855018&set=p.3699191066855018&type=3,,Arisio Aguiar Silva Junior Figueiredo Filho 38 min Paulo Angélica esposa do Luciano Huck sendo entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro tomar a vacina da China. o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Maria Gorete,"DA CHINA???? NÃO  PODE SER  OUTRA????
COMPROVANTE DA ALTA  IMUNIDADE FAMILIAR TEM?????? DUVIDO!",,,,116,5.04
PÁTRIA AMADA BRASIL,,3222787594454581,none,,,,13806,N/A,2021-01-22 10:12:29 BRT,2021-01-22,10:12:29,Photo,92,20,35,20,0,3,13,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/3222787594454581/permalink/3650065368393466,,https://www.facebook.com/photo.php?fbid=457796972018552&set=p.457796972018552&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Ricardo,,,,,92,2.42
FILHOS DO DIVINO PAI ETERNO,,311898779313581,none,,,,42859,N/A,2021-01-22 10:12:54 BRT,2021-01-22,10:12:54,Photo,67,9,34,13,0,1,10,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/311898779313581/permalink/1052773148559470,,https://www.facebook.com/photo.php?fbid=457796972018552&set=p.457796972018552&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Ricardo,,,,,67,1.97
MILITÂNCIA CONSERVADORA,,595163461411574,none,,,,1708,N/A,2021-01-19 17:15:05 BRT,2021-01-19,17:15:05,Photo,58,10,10,10,0,1,23,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/595163461411574/permalink/761691854758733,,https://www.facebook.com/photo.php?fbid=3905716179448536&set=p.3905716179448536&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Vânia,Óleo de peroba!!!,,,,58,1.76
Grupo Divino Pai Eterno,,132924647290298,none,,,,44936,N/A,2021-01-22 10:12:45 BRT,2021-01-22,10:12:45,Photo,52,8,21,10,0,0,9,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/132924647290298/permalink/801936010389155,,https://www.facebook.com/photo.php?fbid=457796972018552&set=p.457796972018552&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Ricardo,,,,,52,1.37
GRUPO OLAVO DE CARVALHO,,825954890834995,none,,,,127301,N/A,2021-01-23 20:00:42 BRT,2021-01-23,20:00:42,Photo,48,5,16,10,0,2,13,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/825954890834995/permalink/3763781513718970,,https://www.facebook.com/1808389512615847/photos/a.1860208834100581/3694062034048576/?type=3,,,Conservadores EM Ação,Angélica esposa do Luciano Huck sendo entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro tomar a vacina da China. O repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,,,,48,1.14
BOLSONARO  ** Patrióta 51**,,385163332015643,none,,,,7191,N/A,2021-01-22 10:14:39 BRT,2021-01-22,10:14:39,Photo,41,5,11,11,0,0,13,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/groups/385163332015643/permalink/956219344910036,,https://www.facebook.com/photo.php?fbid=457796972018552&set=p.457796972018552&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Ricardo,,,,,41,1.71
MICHELLE NOSSA PRIMEIRA DAMA,,284232652202547,none,,,,85645,N/A,2021-01-22 10:13:11 BRT,2021-01-22,10:13:11,Photo,34,5,9,8,0,0,12,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/284232652202547/permalink/782336312392176,,https://www.facebook.com/photo.php?fbid=457796972018552&set=p.457796972018552&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Ricardo,,,,,34,-1.82
MOVIMENTO DO POVO BRASILEIRO,,1922690967956871,none,,,,45247,N/A,2021-01-22 10:12:41 BRT,2021-01-22,10:12:41,Photo,30,4,8,10,0,0,8,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1922690967956871/permalink/3515955748630377,,https://www.facebook.com/photo.php?fbid=457796972018552&set=p.457796972018552&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Ricardo,,,,,30,-1.73
Aliança PELO Brasil Rio de Janeiro - RJ,,1279249925563619,none,,,,2744,N/A,2021-01-22 10:14:30 BRT,2021-01-22,10:14:30,Photo,23,6,9,3,0,0,4,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1279249925563619/permalink/1885467094941896,,https://www.facebook.com/photo.php?fbid=457796972018552&set=p.457796972018552&type=3,,Angélica esposa do Huck foi entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro toma vacina da China o repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta,Ricardo,,,,,23,-1.04
O Desesquerdizador,,181599532496004,none,,,,2526,N/A,2021-01-24 00:16:18 BRT,2021-01-24,00:16:18,Photo,21,6,1,5,0,0,7,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/181599532496004/permalink/712825649373387,SEI...,https://www.facebook.com/1808389512615847/photos/a.1860208834100581/3694062034048576/?type=3,,,Conservadores EM Ação,Angélica esposa do Luciano Huck sendo entrevistada pela Jovem Pan Ela disse que é a favor de todo povo brasileiro tomar a vacina da China. O repórter perguntou se ela tem coragem de tomar a vacina ela disse que nem ela e nem a família dela precisa tomar vacina porque eles têm a imunidade alta🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,,,,21,1.11
