Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
"Apoiadores de Bolsonaro 🇧🇷, Viçosa do Ceará!!!",,567679414083663,none,,,,3521,N/A,2021-04-12 01:34:04 BRT,2021-04-12,01:34:04,Photo,309,106,34,143,0,6,0,4,15,1,,-,0,0,0,N/A,https://www.facebook.com/groups/567679414083663/permalink/885644815620453,,https://www.facebook.com/samuelmarquesreal/photos/a.2258967757712565/3000354590240541/?type=3,,"T WлRAvи Sslan d-19 (inativ ativado samuelmarques PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS",Samuel Marques,"Esquerdice faz mal para a alma e esquerdar faz mal para o cérebro. (Dylan Dantas)
Fica a dica!

O DESPREPARADO GOVERNADOR PETISTA CAMILO SANTANA ATACA O CEARÁ DE NOVO.",,,,309,16.26
Direita Cearense,,627164051459592,none,,,,2732,N/A,2021-04-17 07:03:17 BRT,2021-04-17,07:03:17,Photo,209,85,10,104,0,7,1,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/627164051459592/permalink/898229611019700,,https://www.facebook.com/photo.php?fbid=3849446278475785&set=p.3849446278475785&type=3,,""" URGENTE: PGR DÁ 10 DIAS PARA GOVERNADORES EXPLICAREM 'DISCREPÂNCIA' ENTRE NÚMERO DE VACINAS DISTRIBUÍDAS PELO GOVERNO FEDERAL E APLICADAS PELOS ESTADOS PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS",Djalma,#Eleições2022 #presidenteeuautorizo,,,,209,10.45
CAPITÃO WAGNER 2022,,1416902601672991,none,,,,11694,N/A,2021-04-17 12:39:31 BRT,2021-04-17,12:39:31,Photo,120,53,14,43,0,8,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1416902601672991/permalink/4335129733183582,,https://www.facebook.com/photo.php?fbid=3849446278475785&set=p.3849446278475785&type=3,,""" URGENTE: PGR DÁ 10 DIAS PARA GOVERNADORES EXPLICAREM 'DISCREPÂNCIA' ENTRE NÚMERO DE VACINAS DISTRIBUÍDAS PELO GOVERNO FEDERAL E APLICADAS PELOS ESTADOS PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS",Djalma,#Eleições2022 #presidenteeuautorizo,,,,120,4.14
Daniel Camilo - PTB São Paulo - Bolsonaro Reeleito,,3497055103754142,none,,,,44566,N/A,2021-04-17 08:00:11 BRT,2021-04-17,08:00:11,Photo,85,39,10,28,1,5,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/3497055103754142/permalink/3667475083378809,,https://www.facebook.com/photo.php?fbid=3849446278475785&set=p.3849446278475785&type=3,,""" URGENTE: PGR DÁ 10 DIAS PARA GOVERNADORES EXPLICAREM 'DISCREPÂNCIA' ENTRE NÚMERO DE VACINAS DISTRIBUÍDAS PELO GOVERNO FEDERAL E APLICADAS PELOS ESTADOS PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS",Djalma,#Eleições2022 #presidenteeuautorizo,,,,85,-1.18
TAMBORIL notícias,,676495159931925,none,,,,6355,N/A,2021-04-12 07:38:44 BRT,2021-04-12,07:38:44,Photo,18,9,1,5,0,0,1,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/676495159931925/permalink/802441687337271,,https://www.facebook.com/photo.php?fbid=3835158119904601&set=p.3835158119904601&type=3,,"HORIZONTE AvançaBR 1S ATA24Y144 M d-19(inatv d-19 (inativ lativado PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS Siga nosso instag avancabrhorizonte",Djalma,,,,,18,0.95
Daniel Camilo - PTB São Paulo - Bolsonaro Reeleito,,3497055103754142,none,,,,44553,N/A,2021-04-12 07:39:49 BRT,2021-04-12,07:39:49,Photo,13,9,0,3,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/3497055103754142/permalink/3653398401453144,Genocida,https://www.facebook.com/photo.php?fbid=3835158119904601&set=p.3835158119904601&type=3,,"HORIZONTE AvançaBR 1S ATA24Y144 M d-19(inatv d-19 (inativ lativado PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS Siga nosso instag avancabrhorizonte",Djalma,,,,,13,-7.69
COPPOLLA NEWS,,448636486255466,none,,,,N/A,N/A,2021-04-13 18:36:04 BRT,2021-04-13,18:36:04,Photo,10,5,1,3,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/448636486255466/permalink/467894814329633,CANALHA!,https://www.facebook.com/photo.php?fbid=3062143617351824&set=p.3062143617351824&type=3,,"vacna TS #ਨ241412 C Cmniea d-19 (inativ ativado PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS",Renato,"Prisão em massa !

Chegou a hora da prisão em massa de GOVERNADORES !

Todos com dose em estoque devem ser imediatamente presos.",,,,10,-6.3
TAMBORIL notícias,,676495159931925,none,,,,6398,N/A,2021-04-17 07:03:09 BRT,2021-04-17,07:03:09,Photo,10,6,0,3,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/676495159931925/permalink/805450963703010,,https://www.facebook.com/photo.php?fbid=3849446278475785&set=p.3849446278475785&type=3,,""" URGENTE: PGR DÁ 10 DIAS PARA GOVERNADORES EXPLICAREM 'DISCREPÂNCIA' ENTRE NÚMERO DE VACINAS DISTRIBUÍDAS PELO GOVERNO FEDERAL E APLICADAS PELOS ESTADOS PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS",Djalma,#Eleições2022 #presidenteeuautorizo,,,,10,-0.38
Sons automotivos usados,,250988665270912,none,,,,87471,N/A,2021-04-12 18:26:45 BRT,2021-04-12,18:26:45,Photo,7,1,0,6,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/250988665270912/permalink/1363719830664451,,https://www.facebook.com/photo.php?fbid=2799058230318257&set=p.2799058230318257&type=3,,"HORIZONTE AvançaBR 15 እሌደዳሃደን d-19 (inativ ativado PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS Siga nosso instagram avancabrhorizonte",Eliandro Lemos,"*Bomba!* 
Prefeito de Pacajus, Bruno Figueiredo revela, denuncia e escancara a covardia do Governo comunista: Camilo Santana do PT que por meio da SESA: SECRETARIA DE SAÚDE DO ESTADO DO CEARÁ, *NÃO* deixa vacinar a população. As intenções são: 
1. *PROVOCAR MORTES* 
2. *ACUSAR O GOVERNO FEDERAL* 
3. *RECEBER MAIS E MAIS VERBAS FEDERAIS COM INTUITO DE USAR NA SAÚDE E ROUBAR, SIMPLESMENTE ROUBAR  O DINHEIRO E A VIDA DO POVO CEARENSE.* 
*""ACORDA POVO!""*",,,,7,-8.29
Polícia 24 Horas em Ação,,161125047879590,none,,,,20062,N/A,2021-04-13 21:39:40 BRT,2021-04-13,21:39:40,Photo,7,3,3,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/161125047879590/permalink/759176348074454,,https://www.facebook.com/photo.php?fbid=3613306388792673&set=p.3613306388792673&type=3,,"HORIZONTE AvançaBR 15 4TA44ሃ212 IMEELE 0E0A44 d-19 (inativ lativado PREFEITO DE PACAJUS, AFIRMA QUE CAMILO SANTANA NÃO ESTÁ DEIXANDO OS PREFEITOS USAR AS VACINAS Siga nosso instag avancabrhorizonte",Diegomendes,"#AbranUmaCPI Espero que todas as informações cheguem aos órgão completamentes federais, pois #EuJá perdi a credibilidade nos estaduais",,,,7,-4.14
