Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Patriota,,205233757891030,none,,,,N/A,N/A,2020-12-18 16:03:30 BRT,2020-12-18,16:03:30,Link,67,7,15,30,0,3,11,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/205233757891030/permalink/215918463489226,,https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,67,2.68
Aliança pelo Brasil,,251820432138395,none,,,,262984,N/A,2020-12-27 08:25:27 BRT,2020-12-27,08:25:27,Link,55,19,10,19,0,3,3,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/251820432138395/permalink/850863078900791,,https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,55,-1.87
ALIANÇA PELO BRASIL(OFICIAL),,584212892325072,none,,,,91326,N/A,2020-12-26 15:46:46 BRT,2020-12-26,15:46:46,Link,50,17,0,25,0,3,5,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/584212892325072/permalink/957147215031636,"Por essas e outras o nosso presidente Bolsonaro está nos protegendo de sermos cobaias de laboratório! Orgulho de ter votado nele! Olhando todos esses fatos fica fácil entender porquê nem o próprio CEO quer tomar a vacina, mas você é obrigado tomar, segundo o STF. https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/?fbclid=IwAR0pHeqPACq3I2u0RtmGrOPVVuPOIrPdnzRaIvMfBHEGoOUiKe1xAoJ_Inc#google_vignette",https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/#google_vignette,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,50,-1.02
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644830,N/A,2020-12-27 08:25:35 BRT,2020-12-27,08:25:35,Link,49,11,8,23,0,1,5,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1231254770917382,,https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,49,-2.84
SOU CONSERVADOR ARMAMENTISTA E MILITARISTA DE DIREITA BRASIL!,,493769747481944,none,,,,1545,N/A,2020-12-22 18:21:32 BRT,2020-12-22,18:21:32,Link,45,5,0,40,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/493769747481944/permalink/1523355167856725,"Acorda povo, se o CEO da Pfizer não quer tomar a própria vacina que ele mesmo fabrica, vc tomará? A vacina da Pfizer foi criada em parceria com o laboratório CHINÊS BIONTECH, então a questão já está explicada né. Tudo que vem da CHINA ou é podre, ou ardido, ou falso, ou não funciona, ou todas as anteriores juntas.",https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,45,1.22
MDU,,2190731587853250,none,,,,17328,N/A,2020-12-22 06:16:27 BRT,2020-12-22,06:16:27,Link,38,5,5,12,0,1,15,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2190731587853250/permalink/2779524325640637,lol!!! kkk!!!,https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,38,2
FECHADO com BOLSONARO,,2291096764531891,none,,,,37136,N/A,2020-12-27 11:25:54 BRT,2020-12-27,11:25:54,Link,34,7,6,16,0,4,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2291096764531891/permalink/2482984678676431,NEM EU KKKKKKK,https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,34,-1.26
STOP NOM - CONTRA A NOVA ORDEM MUNDIAL,,514972122520672,none,,,,2144,N/A,2020-12-27 11:39:31 BRT,2020-12-27,11:39:31,Photo,32,13,6,9,0,0,3,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/514972122520672/permalink/676973859653830,,https://www.facebook.com/108482677694308/photos/a.108488417693734/151729833369592/?type=3,,"ECONOM FORUM WOKL ECONO FORU ORLD WOR Saude CEO da Pfizer diz que não tomará a própria vacina 18/12/2020 Fernando Takeshi Comments Boletim do Brasil, Pfizer, vacina obrigatória o CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina,",Despertai,Curtam a página DESPERTAI,,,,32,1.68
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644861,N/A,2020-12-20 07:22:20 BRT,2020-12-20,07:22:20,Link,24,4,0,19,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1226261338083392,,https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,24,-5.79
FORÇABRASIL,,561813371057548,none,,,,281534,N/A,2020-12-27 08:25:55 BRT,2020-12-27,08:25:55,Link,23,5,4,12,0,0,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/561813371057548/permalink/1051773968728150,,https://boletimdobrasil.com/ceo-da-pfizer-diz-que-nao-tomara-a-propria-vacina/,,,CEO da Pfizer diz que não tomará a própria vacina – Boletim do Brasil Online,"Saúde  CEO da Pfizer diz que não tomará a própria vacina 18/12/202018/12/2020 Fernando Takeshi 0 Comments Boletim do Brasil, Pfizer, vacina obrigatória O CEO da Pfizer, Albert Bourla, afirmou que não tomou e que ainda discute com a empresa se tomará a própria vacina. “Não, ainda não tom...",,,,23,-2.26
