Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
UNEB - Universidade do Estado da Bahia,,243608909003185,none,,,,18530,N/A,2021-03-17 10:50:26 BRT,2021-03-17,10:50:26,Link,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/243608909003185/permalink/3997251540305551,Vai pra Cuba!,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,1,-0.94
"Notícias de Canoas, Região e o Mundo (Acontecimentos/Política/Polícia)",,158011154841672,none,,,,23162,N/A,2021-03-20 08:42:11 BRT,2021-03-20,08:42:11,Photo,1,0,1,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/158011154841672/permalink/770903300219118,váo para CUBA ENTÁO,https://www.facebook.com/photo.php?fbid=3560299774067144&set=p.3560299774067144&type=3,,Marco Maia 8 min Eita!! Agora vão pra Cuba mesmo! A falência do governo Bolsonaro! #vivacuba 本*** Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil... o desespero em busca do imunizante contra a Covid-19 levou um grupo formad... odocumento.com.br,Luciane,,,,,1,-0.94
Belém do Pará - Portal da Amazônia,,642685182544033,none,,,,49416,N/A,2021-03-17 06:27:06 BRT,2021-03-17,06:27:06,Link,1,0,0,0,0,1,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/642685182544033/permalink/2413428672136333,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,1,-0.94
CADE-CRUZ ALTA DEBATE,,328164477286935,none,,,,18682,N/A,2021-03-17 17:21:24 BRT,2021-03-17,17:21:24,Link,1,0,0,0,0,0,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/328164477286935/permalink/3255207607915926,"# **""Vai pra Cuba""...rsrs**",https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,1,-0.94
Grupo De Apoio Ao Jornalista Glenn Greenwald,,2180300162239885,none,,,,26451,N/A,2021-03-17 00:01:43 BRT,2021-03-17,00:01:43,Link,1,1,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2180300162239885/permalink/2870369479899613,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,1,-32
Blog Vamos Resistir ao Golpe,,119965511397379,none,,,,48764,N/A,2021-03-17 13:31:47 BRT,2021-03-17,13:31:47,Link,1,0,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/119965511397379/permalink/3938353476225211,VAI PRA CUBA A matéria começa com um erro grave: ela diz que presidente de Cuba é Raul Castro quando desde 2018 o presidente é Miguel Diaz-Canel. Os empresários que têm dinheiro vão se imunizar em Cuba pra depois promover aglomerações e fazer arminha do lado do genocida.,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,1,-30
Eleitores de Bolsonaro Garanhuns,,1822253454726211,none,,,,1049,N/A,2021-03-17 10:41:58 BRT,2021-03-17,10:41:58,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1822253454726211/permalink/2909218826029663,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-26
FRENTE NACIONAL CONTRA A REDUÇÃO DA MAIORIDADE PENAL,,447776182054238,none,,,,2405,N/A,2021-03-19 13:24:13 BRT,2021-03-19,13:24:13,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/447776182054238/permalink/1849005035264672,Defendendo GENOCIDA ? ? ? VAI PRA CUBA ! ! ! #ForaBolsoDoriaEciaLtda ! ! ! #LulaPresidente2022 ! ! ! #VIVAURSAL ! ! ! 🌎✊🌎✊🌎✊🌎,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-38
Professores de geografia,,816476371712272,learning,,,,15539,N/A,2021-03-17 01:55:06 BRT,2021-03-17,01:55:06,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/816476371712272/permalink/4444857045540835,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-52
Postei e sai correndo [Poste memes q você gosta aqui],,373352649879785,none,,,,19150,N/A,2021-03-17 16:44:31 BRT,2021-03-17,16:44:31,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/373352649879785/permalink/854048081810237,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-32
