Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
"Sou Indígena, sou contra Bolsonaro",,285965208681099,none,,,,4278,N/A,2021-03-17 01:41:18 BRT,2021-03-17,01:41:18,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/285965208681099/permalink/793021424642139,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-40
lá no Benguí,,151390448821086,none,,,,11546,N/A,2021-03-17 06:27:10 BRT,2021-03-17,06:27:10,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/151390448821086/permalink/796294230997368,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-52
Eusébio News 2022,,434717103378864,none,,,,6508,N/A,2021-03-18 21:08:49 BRT,2021-03-18,21:08:49,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/434717103378864/permalink/1612903992226830,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-38
Blog do Nill Júnior,,537750296349307,none,,,,13614,N/A,2021-03-17 08:16:30 BRT,2021-03-17,08:16:30,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/537750296349307/permalink/2471329339658050,"Eita, agora vão pra Cuba mesmo né! Volta Lula, volta Mais Médicos!",https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-70
Grupo da Página Papel Pã Notícias,,369461090208651,none,,,,8496,N/A,2021-03-17 07:02:09 BRT,2021-03-17,07:02:09,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/369461090208651/permalink/1083001062187980,Eita!! Agora vão pra Cuba mesmo! A falência do governo Bolsonaro!,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-28
DIVINA PASTORA COMO EU VEJO,,1506726239579058,none,,,,6645,N/A,2021-03-17 11:26:18 BRT,2021-03-17,11:26:18,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1506726239579058/permalink/2784462145138788,Vai pra Cuba,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-22
#somosmídia,,1769671013326114,none,,,,1695,N/A,2021-03-17 13:32:31 BRT,2021-03-17,13:32:31,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1769671013326114/permalink/2590550781238129,VAI PRA CUBA A matéria começa com um erro grave: ela diz que presidente de Cuba é Raul Castro quando desde 2018 o presidente é Miguel Diaz-Canel. Os empresários que têm dinheiro vão se imunizar em Cuba pra depois promover aglomerações e fazer arminha do lado do genocida.,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-42
TUDO SOBRE O CABO DE SANTO AGOSTINHO (LIVRE),,1566035376970299,none,,,,6255,N/A,2021-03-17 18:19:00 BRT,2021-03-17,18:19:00,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1566035376970299/permalink/2785553735018451,"EMPRESÁRIOS BRASILEIRO CANSARAM DE ESPERAR E IRÃO TOMAR VACINA EM CUBA ! O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de PCR), e com mais de 18 anos, aptas a tomar a vacina russa, Sputnik V. Cada passageiro vai desembolsar R$ 30 mil. Do valor total arrecadado, R$ 2 milhões vão custear o fretamento da companhia aérea e outro R$ 1 milhão será doado ao governo cubano, responsável pela disponibilidade e aplicação das vacinas. A menor parte, R$ 600 mil, será usada para pagamento de hospedagens e alimentação do grupo, em Havana. É a completa desmoralização do governo, Jair Bolsonaro.",https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-28
Eu moro em Mongaguá,,1410522809206878,none,,,,21268,N/A,2021-03-16 22:18:47 BRT,2021-03-16,22:18:47,Photo,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1410522809206878/permalink/2861320704127074,Vai pra Cuba.,https://www.facebook.com/aquieesquerda/photos/a.505898853111551/1400252297009531/?type=3,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça Publicado 16/03/2021 -16:45 por Da Redação,Sou esquerda e dai?,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de PCR), e com mais de 18 anos, aptas a tomar a vacina russa, Sputnik V.  Cada passageiro vai desembolsar R$ 30 mil. Do valor total arrecadado, R$ 2 milhões vão custear o fretamento da companhia aérea e outro R$ 1 milhão será doado ao governo cubano, responsável pela disponibilidade e aplicação das vacinas. A menor parte, R$ 600 mil, será usada para pagamento de hospedagens e alimentação do grupo, em Havana. É a completa desmoralização do governo, Jair Bolsonaro",,,,0,-48
UFMG,,237180516398413,none,,,,29771,N/A,2021-03-17 10:28:12 BRT,2021-03-17,10:28:12,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/237180516398413/permalink/3760324644083965,"BOLSOMINION SI, PERO NO MUCHO....😅🙂😎😏😏😏",https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-88
Eusébio/CE,,1604092993216242,none,,,,22505,N/A,2021-03-18 21:08:40 BRT,2021-03-18,21:08:40,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1604092993216242/permalink/2671402503151947,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-32
PLANTAO 24 HORAS TUDO QUE É NOTÍCIA.,,879819758768710,none,,,,34323,N/A,2021-03-16 21:44:09 BRT,2021-03-16,21:44:09,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/879819758768710/permalink/3827553307328659,se o Brasil tivesse um governo responsável ja teria vacina para toda população. mas tem um genocida!,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-28
ATUALIDADES POLÍTICAS DO RS.,,311561668938954,none,,,,17395,N/A,2021-03-17 12:18:21 BRT,2021-03-17,12:18:21,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/311561668938954/permalink/3715000791928341,"Eita, agora vão pra CUBA",https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-48
"Clube Brasileiro de Montreal, Canada (Brazilian *Club* brésilien)",,1589880977907224,none,,,,3385,N/A,2021-03-17 12:52:55 BRT,2021-03-17,12:52:55,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1589880977907224/permalink/2954822571413051,"Vai pra Cuba!, diziam eles.",https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-24
Itanhaém na boca do Povo,,176616025746059,none,,,,16596,N/A,2021-03-17 00:55:27 BRT,2021-03-17,00:55:27,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/176616025746059/permalink/5157902714284007,Quem quer a vacina vá atrás.,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-38
São Gonçalo vai mudar,,583909071964445,none,,,,91671,N/A,2021-03-17 05:48:46 BRT,2021-03-17,05:48:46,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/583909071964445/permalink/1363304090691602,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-54
Coronavirus Brasil,,494958524780007,none,,,,5736,N/A,2021-03-17 06:36:12 BRT,2021-03-17,06:36:12,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/494958524780007/permalink/806430160299507,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-50
Revolucionários da América Latina,,224733694221369,none,,,,15973,N/A,2021-03-19 13:25:12 BRT,2021-03-19,13:25:12,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/224733694221369/permalink/4324963377531693,Defendendo GENOCIDA ? ? ? VAI PRA CUBA ! ! ! #ForaBolsoDoriaEciaLtda ! ! ! #LulaPresidente2022 ! ! ! #VIVAURSAL ! ! ! 🌎✊🌎✊🌎✊🌎,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-84
"LEU NA VEJA, AZAR O SEU!!!!!!",,331367540218423,none,,,,49148,N/A,2021-03-16 22:30:06 BRT,2021-03-16,22:30:06,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/331367540218423/permalink/4128040520551087,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-52
Grupo Esquerda do Brasil,,922251947920401,none,,,,14232,N/A,2021-03-17 00:03:55 BRT,2021-03-17,00:03:55,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/922251947920401/permalink/2569330323212547,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-50
União das Esquerdas,,1717149441880389,none,,,,43599,N/A,2021-03-17 13:27:19 BRT,2021-03-17,13:27:19,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1717149441880389/permalink/2810511765877479,,https://odocumento.com.br/empresarios-de-cuiaba-vao-fretar-aviao-para-tomar-sputnik-v-em-cuba-r-30-mil-por-cabeca/,,,Empresários de Cuiabá vão fretar avião para tomar Sputnik V em Cuba; R$ 30 mil por cabeça - O Documento,"O desespero em busca do imunizante contra a Covid-19 levou um grupo formado por empresários, profissionais liberais e autônomos da Capital a planejar provável viagem a Cuba, orçada em R$ 3,6 milhões. Ao todo, devem embarcar rumo a ilha dos Castros, 120 pessoas, devidamente testadas (exames de P...",,,,0,-52
