Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Jornalista Luís Ernesto Lacombe [Eu apoio],,310284690142071,none,,,,113497,N/A,2020-10-17 18:23:33 BRT,2020-10-17,18:23:33,Photo,"4,571",663,1382,773,6,63,1581,8,93,2,,-,0,0,0,N/A,https://www.facebook.com/groups/310284690142071/permalink/398269401343599,🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️,https://www.facebook.com/105767614235560/photos/a.171436751001979/212650836880570/?type=3,,"""Não vou permitir que aqueles que não tomem a vacina passem corona para os que tomaram...' Dória.",Nós Amamos o Brasil,Não é falsa é censura,,,,"4,571",59.36
#Fechado com Bolsonaro 2022,,791545768050906,none,,,,20794,N/A,2020-12-19 10:51:41 BRT,2020-12-19,10:51:41,Photo,"1,275",224,600,215,1,2,163,0,70,0,,-,0,0,0,N/A,https://www.facebook.com/groups/791545768050906/permalink/895894927615989,"A imbecilidade em pessoa 🤣🤣🤣 Nós VOTAMOS NO BOLSONARO RETARDADO, quem é vc lá fila do pão 😡",https://www.facebook.com/photo.php?fbid=918521992015974&set=p.918521992015974&type=3,,"""Não vou permitir que aqueles que não tomem a vacina passem Corona para os que tomaram""",Meire,"O espírito da DilmANTA baixou no calça roxa!
😜🤪🤪🤪🤪😜",,,,"1,275",-1.55
Jornalista Luís Ernesto Lacombe [Eu apoio],,310284690142071,none,,,,115810,N/A,2020-12-19 21:01:09 BRT,2020-12-19,21:01:09,Photo,628,147,122,175,0,14,158,0,12,0,,-,0,0,0,N/A,https://www.facebook.com/groups/310284690142071/permalink/447139073123298,Uma das maiores manotas do ano.😂,https://www.facebook.com/mundodoscriticos/photos/a.2789087931414061/2799562137033307/?type=3,,"Quem disse que Dilma não poderia ser superada em seus ilustres discursos se enganou. ""Não vou permitir que aqueles que 2 não tomem a vacina passem Corona para os que tomaram""",Mundo dos críticos,Essa pegou mal,,,,628,8.16
Bárbara - Te Atualizei 🇧🇷,,671689840082797,none,,,,33056,N/A,2020-10-17 23:20:41 BRT,2020-10-17,23:20:41,Photo,599,108,106,152,1,5,199,2,26,0,,-,0,0,0,N/A,https://www.facebook.com/groups/671689840082797/permalink/756198678298579,,https://www.facebook.com/photo.php?fbid=1724737017685808&set=p.1724737017685808&type=3,,"""Não vou permitir que aqueles que não tomem a vacina passem corona para os que tomaram... 'Dória."" D LOUCO Face/RLippi cartoons",Paula Michelle,,,,,599,6.11
Jornalista Alexandre Garcia [Eu Apoio],,610860592952762,none,,,,N/A,N/A,2020-10-18 23:44:00 BRT,2020-10-18,23:44:00,Photo,572,126,156,138,0,3,124,0,25,0,,-,0,0,0,N/A,https://www.facebook.com/groups/610860592952762/permalink/670458180326336,,https://www.facebook.com/OlharDaDireitaBr/photos/a.1003954476306522/3391561620879117/?type=3,,"João Doria Roussef 'Não vou permitir que aqueles que não tomem-a,vacina vacina passem-corona para os que tomaram...""",Olhar da direita,😛,,,,572,11
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644421,N/A,2021-01-12 13:40:47 BRT,2021-01-12,13:40:47,Photo,503,100,154,114,0,7,105,0,23,0,,-,0,0,0,N/A,https://www.facebook.com/groups/147276449315225/permalink/1243054866404039,,https://www.facebook.com/photo.php?fbid=246368660187387&set=p.246368660187387&type=3,,"""Não vou permitir que aqueles que 2 não tomem a vacina passem Corona para os que tomaram Então a vacina não protege?",Heitor,Agripino Rousseff,,,,503,2.43
Amor à Pátria - (RBA),,451221162141676,none,,,,106366,N/A,2020-12-22 10:06:59 BRT,2020-12-22,10:06:59,Photo,415,66,117,138,0,2,87,0,4,1,,-,0,0,0,N/A,https://www.facebook.com/groups/451221162141676/permalink/768967393700383,,https://www.facebook.com/Sikerajrrepresenta/photos/a.105781954333618/220553449523134/?type=3,,"Quem disse que Dilma não poderia ser superada em seus ilustres discursos se enganou. ""Não vou permitir que aqueles que 2 não tomem a vacina passem Corona para os que tomaram""",Sikêra Jr me Representa,"Que tal você passar a fabricar dinheiro legalmente em casa ?
Saiba mais ⤵️⤵️⤵️
https://bit.ly/Renda_em_casa-Brasill",,,,415,2.29
Bárbara - Te Atualizei 🇧🇷,,671689840082797,none,,,,32988,N/A,2020-10-17 13:27:26 BRT,2020-10-17,13:27:26,Photo,364,72,68,78,0,5,138,0,3,0,,-,0,0,0,N/A,https://www.facebook.com/groups/671689840082797/permalink/755859208332526,,https://www.facebook.com/photo.php?fbid=10158642267382192&set=p.10158642267382192&type=3,,"""Não vou permitir que aqueles que não tomem a vacina passem corona para os que tomaram... Dória.",Olavo,Ato falho freudiano: o hominho confessa que a vacina dele é uma bosta:,,,,364,3.79
Tarcísio G Freitas (Ministro)Oficial - (RBA),,435756547367153,none,,,,241511,N/A,2020-12-22 11:18:02 BRT,2020-12-22,11:18:02,Photo,364,79,108,107,0,3,56,2,9,0,,-,0,0,0,N/A,https://www.facebook.com/groups/435756547367153/permalink/724522821823856,,https://www.facebook.com/Sikerajrrepresenta/photos/a.105781954333618/220553449523134/?type=3,,"Quem disse que Dilma não poderia ser superada em seus ilustres discursos se enganou. ""Não vou permitir que aqueles que 2 não tomem a vacina passem Corona para os que tomaram""",Sikêra Jr me Representa,"Que tal você passar a fabricar dinheiro legalmente em casa ?
Saiba mais ⤵️⤵️⤵️
https://bit.ly/Renda_em_casa-Brasill",,,,364,1.54
ALERTA NACIONAL - RedeTV!,,2910824945699419,none,,,,26069,N/A,2020-10-18 23:44:33 BRT,2020-10-18,23:44:33,Photo,360,88,69,104,0,3,92,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2910824945699419/permalink/3420484048066837,,https://www.facebook.com/OlharDaDireitaBr/photos/a.1003954476306522/3391561620879117/?type=3,,"João Doria Roussef 'Não vou permitir que aqueles que não tomem-a,vacina vacina passem-corona para os que tomaram...""",Olhar da direita,😛,,,,360,11.25
