Group Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
LUCIANO HANG (apoio),,143579669924988,none,,,,82550,N/A,2021-05-27 17:51:12 BRT,2021-05-27,17:51:12,Native Video,95,39,6,37,1,2,0,3,7,0,share,No,0,0,0,00:00:42,https://www.facebook.com/groups/143579669924988/permalink/822909181992030,,https://www.facebook.com/marta.laurito.sp/videos/5655222444548425/,,,Marta,"BOLSONARO envia  VACINAS 💉 para  Fortaleza-Ceará, o avião ✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do Governo de Camilo Santana (PT) foi receber. Até o trabalhador do Aeroporto indignado com descaso.
E o Genocida é o Bolsonaro!!!

Rodando nas redes",,,,95,1.98
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644522,N/A,2021-05-26 17:05:17 BRT,2021-05-26,17:05:17,Native Video,54,22,1,29,0,0,0,0,2,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/147276449315225/permalink/1338168393559352,"BOLSONARO envia *VACINAS*💉 para Fortaleza-Ceará, o avião✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do *Governo de Camilo Santana (PT) foi receber.* Até o trabalhador do Aeroporto indignado com descaso *!* E o Genocida é o Bolsonaro?",https://www.facebook.com/groups/jaebolsonaro/permalink/1338168393559352/,,,,,,,,54,-1.5
Jeovah Santos Artista Plástico,,479538022201770,none,,,,36703,N/A,2021-05-28 20:10:44 BRT,2021-05-28,20:10:44,Native Video,51,21,4,26,0,0,0,0,0,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/479538022201770/permalink/1981836761971881,"BOLSONARO envia *VACINAS*💉 para Fortaleza-Ceará, o avião✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do *Governo de Camilo Santana (PT) foi receber.* Até o trabalhador do Aeroporto indignado com descaso *!* E o Genocida é o Bolsonaro!!! Cadê a CPI de araque.",https://www.facebook.com/groups/jeovahsantos/permalink/1981836761971881/,,,,,,,,51,1.04
Jornalista Alexandre Garcia [Eu Apoio],,610860592952762,none,,,,53807,N/A,2021-05-27 17:05:23 BRT,2021-05-27,17:05:23,Native Video,50,30,3,16,0,1,0,0,0,0,share,No,0,0,0,00:00:42,https://www.facebook.com/groups/610860592952762/permalink/803040127068140,OLHEM O ABSURDO,https://www.facebook.com/marta.laurito.sp/videos/5655222444548425/,,,Marta,"BOLSONARO envia  VACINAS 💉 para  Fortaleza-Ceará, o avião ✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do Governo de Camilo Santana (PT) foi receber. Até o trabalhador do Aeroporto indignado com descaso.
E o Genocida é o Bolsonaro!!!

Rodando nas redes",,,,50,1.85
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644725,N/A,2021-05-23 18:45:11 BRT,2021-05-23,18:45:11,Native Video,47,15,2,26,0,1,0,1,2,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/147276449315225/permalink/1336021880440670,"BOLSONARO envia *VACINAS*💉 para Fortaleza-Ceará, o avião✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do *Governo de Camilo Santana (PT) foi receber.* Até o trabalhador do Aeroporto indignado com descaso *!* E o Genocida é o Bolsonaro!!!",https://www.facebook.com/groups/jaebolsonaro/permalink/1336021880440670/,,,,,,,,47,-1.72
Enquanto Isso Em Caldas Novas,,407342952721161,none,,,,25135,N/A,2021-05-29 22:53:55 BRT,2021-05-29,22:53:55,Native Video,45,16,2,24,0,0,0,3,0,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/407342952721161/permalink/3867303590058396,"BOLSONARO envia vacinas para Fortaleza-Ceará. O avião não pode ficar o dia todo parado no pátio do aeroporto, e ninguém do governo de Camilo Santana ( PT) foi receber. Até o funcionário do aeroporto fica indignado com o descaso. Taí... quem é o ""GENOCIDA""?? 🧐🤬",https://www.facebook.com/groups/caldasnovaslivre/permalink/3867303590058396/,,,,,,,,45,1.5
"Bombeiro Tenente Lessa em Prol da Nação Brasileira, #Contraacorrupção",,302276906785227,none,,,,3610,N/A,2021-06-04 00:02:14 BRT,2021-06-04,00:02:14,Native Video,36,17,7,7,1,0,0,0,4,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/302276906785227/permalink/1503261133353459,"BOLSONARO envia *VACINAS*💉 para Fortaleza-Ceará, o avião✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do *Governo de Camilo Santana (PT) foi receber.* Até o trabalhador do Aeroporto indignado com descaso *!* E o Genocida é o Bolsonaro!!!? Bombeiro Tenente Lessa Bombeiro Tenente Lessa em Prol da Nação Brasileira, #Contraacorrupção",https://www.facebook.com/groups/302276906785227/permalink/1503261133353459/,,,,,,,,36,1.89
Bolsonaro 2022 🇧🇷,,147276449315225,none,,,,644791,N/A,2021-05-21 19:01:11 BRT,2021-05-21,19:01:11,Native Video,32,18,3,10,0,0,1,0,0,0,share,No,0,0,0,00:00:42,https://www.facebook.com/groups/147276449315225/permalink/1334456867263838,,https://www.facebook.com/rogerio.estefan.7/videos/10222487703974750/,,,Rogerio,"BOLSONARO envia *VACINAS*💉 para  Fortaleza-Ceará, o avião✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do *Governo de Camilo Santana (PT) foi receber.* 

Até  o trabalhador do Aeroporto indignado com descaso *!* 

E o Genocida é o Bolsonaro!!!",,,,32,-2.53
FORÇABRASIL,,561813371057548,none,,,,285092,N/A,2021-05-25 21:31:15 BRT,2021-05-25,21:31:15,Native Video,29,7,1,18,0,0,0,2,1,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/561813371057548/permalink/1150775428828003,"BOLSONARO envia *VACINAS*💉 para Fortaleza-Ceará, o avião✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do *Governo de Camilo Santana (PT) foi receber.* Até o trabalhador do Aeroporto indignado com descaso *!* E o Genocida é o Bolsonaro!!!",https://www.facebook.com/groups/561813371057548/permalink/1150775428828003/,,,,,,,,29,-1.62
MICHELLE NOSSA PRIMEIRA DAMA,,284232652202547,none,,,,86598,N/A,2021-05-21 00:22:04 BRT,2021-05-21,00:22:04,Native Video,25,15,0,9,0,0,0,0,1,0,owned,-,0,0,0,00:00:00,https://www.facebook.com/groups/284232652202547/permalink/853870781905395,"BOLSONARO envia *VACINAS*💉 para Fortaleza-Ceará, o avião✈️ não pode ficar o DIA TODO parado no pátio do aeroporto. NINGUÉM do *Governo de Camilo Santana (PT) foi receber.* Até o trabalhador do Aeroporto indignado com descaso *!* E o Genocida é o Bolsonaro!!",https://www.facebook.com/groups/284232652202547/permalink/853870781905395/,,,,,,,,25,-1.52
